p1		p2	
7332	UBE2L3	23291	FBXW11
7332	UBE2L3	11059	WWP1
7332	UBE2L3	6233	RPS27A
7332	UBE2L3	9616	RNF7
7332	UBE2L3	55294	FBXW7
7332	UBE2L3	9320	TRIP12
7332	UBE2L3	81559	TRIM11
7332	UBE2L3	54778	RNF111
7332	UBE2L3	197131	UBR1
7332	UBE2L3	55658	RNF126
7332	UBE2L3	143279	HECTD2
7332	UBE2L3	9690	UBE3C
7332	UBE2L3	7314	UBB
7332	UBE2L3	991	CDC20
7332	UBE2L3	10393	ANAPC10
7332	UBE2L3	6047	RNF4
7332	UBE2L3	90933	TRIM41
7332	UBE2L3	6478	SIAH2
7332	UBE2L3	10616	RBCK1
7332	UBE2L3	9604	RNF14
7332	UBE2L3	8454	CUL1
7332	UBE2L3	10293	TRAIP
7332	UBE2L3	89910	UBE3B
7332	UBE2L3	6049	RNF6
7332	UBE2L3	25897	RNF19A
7332	UBE2L3	7316	UBC
7332	UBE2L3	51529	ANAPC11
7332	UBE2L3	4734	NEDD4
7332	UBE2L3	89122	TRIM4
7332	UBE2L3	10425	ARIH2
7332	UBE2L3	6477	SIAH1
7332	UBE2L3	154214	RNF217
7332	UBE2L3	57154	SMURF1
7332	UBE2L3	9867	PJA2
7332	UBE2L3	64219	PJA1
7332	UBE2L3	27246	RNF115
7332	UBE2L3	8945	BTRC
7332	UBE2L3	79654	HECTD3
7332	UBE2L3	23304	UBR2
7332	UBE2L3	127544	RNF19B
7332	UBE2L3	83737	ITCH
7332	UBE2L3	131405	TRIM71
7332	UBE2L3	23327	NEDD4L
7332	UBE2L3	7341	SUMO1
7332	UBE2L3	8065	CUL5
7332	UBE2L3	51343	FZR1
7332	UBE2L3	899	CCNF
7332	UBE2L3	26091	HERC4
7332	UBE2L3	7337	UBE3A
7332	UBE2L3	25831	HECTD1
7332	UBE2L3	7311	UBA52
7332	UBE2L3	8925	HERC1
7332	UBE2L3	55070	DET1
7332	UBE2L3	55819	RNF130
7332	UBE2L3	9820	CUL7
7332	UBE2L3	996	CDC27
7332	UBE2L3	8453	CUL2
8481	OFD1	9662	CEP135
8481	OFD1	80321	CEP70
8481	OFD1	84131	CEP78
8481	OFD1	9738	CCP110
8481	OFD1	1781	DYNC1I2
8481	OFD1	80184	CEP290
8481	OFD1	132320	SCLT1
8481	OFD1	4867	NPHP1
467	ATF3	3725	JUN
10161	LPAR6	2767	GNA11
10161	LPAR6	2776	GNAQ
10161	LPAR6	9630	GNA14
51077	FCF1	57050	UTP3
51077	FCF1	51096	UTP18
51077	FCF1	2091	FBL
51077	FCF1	9136	RRP9
51077	FCF1	11103	KRR1
51077	FCF1	54555	DDX49
51077	FCF1	10199	MPHOSPH10
51077	FCF1	88745	RRP36
51077	FCF1	6201	RPS7
51077	FCF1	25879	DCAF13
51077	FCF1	92856	IMP4
51077	FCF1	55813	UTP6
51077	FCF1	84135	UTP15
51077	FCF1	11056	DDX52
51077	FCF1	51602	NOP58
51077	FCF1	5822	PWP2
51077	FCF1	84128	WDR75
51077	FCF1	10885	WDR3
51077	FCF1	65083	NOL6
51077	FCF1	57647	DHX37
51077	FCF1	8602	NOP14
51077	FCF1	27341	RRP7A
51077	FCF1	79050	NOC4L
51077	FCF1	55272	IMP3
51077	FCF1	10528	NOP56
51077	FCF1	55127	HEATR1
51077	FCF1	51202	DDX47
51077	FCF1	22984	PDCD11
51077	FCF1	6194	RPS6
51077	FCF1	9277	WDR46
51077	FCF1	9790	BMS1
51077	FCF1	27042	DIEXF
51077	FCF1	10813	UTP14A
51077	FCF1	10171	RCL1
51077	FCF1	23160	WDR43
51077	FCF1	134430	WDR36
51077	FCF1	9724	UTP14C
51077	FCF1	10607	TBL3
83756	TAS1R3	80834	TAS1R2
83756	TAS1R3	80835	TAS1R1
1499	CTNNB1	8945	BTRC
1499	CTNNB1	1452	CSNK1A1
1499	CTNNB1	6934	TCF7L2
1499	CTNNB1	10856	RUVBL2
1499	CTNNB1	1856	DVL2
1499	CTNNB1	7414	VCL
1499	CTNNB1	6300	MAPK12
1499	CTNNB1	25776	CBY1
1499	CTNNB1	166	AES
1499	CTNNB1	2931	GSK3A
1499	CTNNB1	1432	MAPK14
1499	CTNNB1	10297	APC2
1499	CTNNB1	6662	SOX9
1499	CTNNB1	324	APC
1499	CTNNB1	4040	LRP6
1499	CTNNB1	999	CDH1
1499	CTNNB1	8312	AXIN1
1499	CTNNB1	1387	CREBBP
1499	CTNNB1	2033	EP300
1499	CTNNB1	3791	KDR
1499	CTNNB1	23291	FBXW11
1499	CTNNB1	51176	LEF1
1499	CTNNB1	3480	IGF1R
1499	CTNNB1	1000	CDH2
1499	CTNNB1	83439	TCF7L1
1499	CTNNB1	89780	WNT3A
1499	CTNNB1	1013	CDH15
1499	CTNNB1	1496	CTNNA2
1499	CTNNB1	4041	LRP5
1499	CTNNB1	6736	SRY
1499	CTNNB1	1857	DVL3
1499	CTNNB1	8313	AXIN2
1499	CTNNB1	26108	PYGO1
1499	CTNNB1	1495	CTNNA1
1499	CTNNB1	2353	FOS
1499	CTNNB1	7015	TERT
1499	CTNNB1	8607	RUVBL1
1499	CTNNB1	998	CDC42
1499	CTNNB1	4233	MET
1499	CTNNB1	6657	SOX2
1499	CTNNB1	2932	GSK3B
1499	CTNNB1	8454	CUL1
1499	CTNNB1	5600	MAPK11
1499	CTNNB1	283149	BCL9L
1499	CTNNB1	2309	FOXO3
1499	CTNNB1	6932	TCF7
1499	CTNNB1	4089	SMAD4
1499	CTNNB1	1003	CDH5
1499	CTNNB1	6925	TCF4
1499	CTNNB1	6597	SMARCA4
1499	CTNNB1	1002	CDH4
1499	CTNNB1	6658	SOX3
1499	CTNNB1	3725	JUN
1499	CTNNB1	25	ABL1
1499	CTNNB1	4303	FOXO4
1499	CTNNB1	7088	TLE1
1499	CTNNB1	1855	DVL1
1499	CTNNB1	2308	FOXO1
1499	CTNNB1	1500	CTNND1
1499	CTNNB1	57680	CHD8
9672	SDC3	8573	CASK
57492	ARID1B	6604	SMARCD3
57492	ARID1B	6599	SMARCC1
57492	ARID1B	6595	SMARCA2
57492	ARID1B	6598	SMARCB1
57492	ARID1B	6601	SMARCC2
57492	ARID1B	6597	SMARCA4
57492	ARID1B	6603	SMARCD2
57492	ARID1B	55193	PBRM1
57492	ARID1B	6602	SMARCD1
900	CCNG1	5516	PPP2CB
900	CCNG1	5519	PPP2R1B
900	CCNG1	5518	PPP2R1A
900	CCNG1	5527	PPP2R5C
900	CCNG1	4193	MDM2
900	CCNG1	5515	PPP2CA
3638	INSIG1	22937	SCAP
10617	STAMBP	8027	STAM
23114	NFASC	286	ANK1
23114	NFASC	8506	CNTNAP1
23114	NFASC	288	ANK3
23114	NFASC	1272	CNTN1
23114	NFASC	287	ANK2
23114	NFASC	6709	SPTAN1
31	ACACA	32	ACACB
7316	UBC	867	CBL
7316	UBC	868	CBLB
7316	UBC	9320	TRIP12
7316	UBC	7345	UCHL1
7316	UBC	81559	TRIM11
7316	UBC	7508	XPC
7316	UBC	9690	UBE3C
7316	UBC	2071	ERCC3
7316	UBC	54778	RNF111
7316	UBC	9246	UBE2L6
7316	UBC	2177	FANCD2
7316	UBC	197131	UBR1
7316	UBC	55658	RNF126
7316	UBC	2264	FGFR4
7316	UBC	92591	ASB16
7316	UBC	991	CDC20
7316	UBC	5984	RFC4
7316	UBC	140458	ASB5
7316	UBC	4085	MAD2L1
7316	UBC	92421	CHMP4C
7316	UBC	143279	HECTD2
7316	UBC	122769	LRR1
7316	UBC	5347	PLK1
7316	UBC	90678	LRSAM1
7316	UBC	9101	USP8
7316	UBC	7324	UBE2E1
7316	UBC	80198	MUS81
7316	UBC	3091	HIF1A
7316	UBC	7704	ZBTB16
7316	UBC	7317	UBA1
7316	UBC	64682	ANAPC1
7316	UBC	7335	UBE2V1
7316	UBC	10533	ATG7
7316	UBC	50618	ITSN2
7316	UBC	8871	SYNJ2
7316	UBC	1785	DNM2
7316	UBC	2073	ERCC5
7316	UBC	89122	TRIM4
7316	UBC	8881	CDC16
7316	UBC	79876	UBA5
7316	UBC	7321	UBE2D1
7316	UBC	26052	DNM3
7316	UBC	5980	REV3L
7316	UBC	7415	VCP
7316	UBC	65264	UBE2Z
7316	UBC	9039	UBA3
7316	UBC	57154	SMURF1
7316	UBC	9867	PJA2
7316	UBC	64219	PJA1
7316	UBC	142689	ASB12
7316	UBC	9184	BUB3
7316	UBC	29089	UBE2T
7316	UBC	27246	RNF115
7316	UBC	8945	BTRC
7316	UBC	1069	CETN2
7316	UBC	148581	UBE2U
7316	UBC	4952	OCRL
7316	UBC	7319	UBE2A
7316	UBC	4998	ORC1
7316	UBC	2060	EPS15
7316	UBC	79654	HECTD3
7316	UBC	5429	POLH
7316	UBC	10450	PPIE
7316	UBC	23304	UBR2
7316	UBC	1759	DNM1
7316	UBC	8451	CUL4A
7316	UBC	246184	CDC26
7316	UBC	83737	ITCH
7316	UBC	7507	XPA
7316	UBC	7347	UCHL3
7316	UBC	2017	CTTN
7316	UBC	51160	VPS28
7316	UBC	8027	STAM
7316	UBC	64344	HIF3A
7316	UBC	6456	SH3GL2
7316	UBC	5983	RFC3
7316	UBC	54620	FBXL19
7316	UBC	140462	ASB9
7316	UBC	6453	ITSN1
7316	UBC	8878	SQSTM1
7316	UBC	2068	ERCC2
7316	UBC	26091	HERC4
7316	UBC	7341	SUMO1
7316	UBC	10477	UBE2E3
7316	UBC	8065	CUL5
7316	UBC	8697	CDC23
7316	UBC	51343	FZR1
7316	UBC	983	CDK1
7316	UBC	9829	DNAJC6
7316	UBC	7325	UBE2E2
7316	UBC	7326	UBE2G1
7316	UBC	899	CCNF
7316	UBC	7337	UBE3A
7316	UBC	7322	UBE2D2
7316	UBC	25831	HECTD1
7316	UBC	23327	NEDD4L
7316	UBC	8450	CUL4B
7316	UBC	91319	DERL3
7316	UBC	401036	ASB18
7316	UBC	9354	UBE4A
7316	UBC	7311	UBA52
7316	UBC	8925	HERC1
7316	UBC	136371	ASB10
7316	UBC	6457	SH3GL3
7316	UBC	115548	FCHO2
7316	UBC	387	RHOA
7316	UBC	51652	CHMP3
7316	UBC	6613	SUMO2
7316	UBC	5424	POLD1
7316	UBC	29924	EPN1
7316	UBC	5985	RFC5
7316	UBC	8867	SYNJ1
7316	UBC	4193	MDM2
7316	UBC	140456	ASB11
7316	UBC	79813	EHMT1
7316	UBC	142686	ASB14
7316	UBC	11267	SNF8
7316	UBC	1452	CSNK1A1
7316	UBC	142678	MIB2
7316	UBC	7336	UBE2V2
7316	UBC	6917	TCEA1
7316	UBC	55819	RNF130
7316	UBC	996	CDC27
7316	UBC	8453	CUL2
7316	UBC	8218	CLTCL1
7316	UBC	51465	UBE2J1
7316	UBC	51676	ASB2
7316	UBC	11201	POLI
7316	UBC	9212	AURKB
7316	UBC	5886	RAD23A
7316	UBC	5887	RAD23B
7316	UBC	22888	UBOX5
7316	UBC	51009	DERL2
7316	UBC	27248	ERLEC1
7316	UBC	990	CDC6
7316	UBC	997	CDC34
7316	UBC	9978	RBX1
7316	UBC	4792	NFKBIA
7316	UBC	6790	AURKA
7316	UBC	26235	FBXL4
7316	UBC	128866	CHMP4B
7316	UBC	9100	USP10
7316	UBC	10273	STUB1
7316	UBC	5438	POLR2I
7316	UBC	51619	UBE2D4
7316	UBC	3312	HSPA8
7316	UBC	27339	PRPF19
7316	UBC	25906	ANAPC15
7316	UBC	8078	USP5
7316	UBC	6500	SKP1
7316	UBC	51426	POLK
7316	UBC	23149	FCHO1
7316	UBC	7251	TSG101
7316	UBC	9040	UBE2M
7316	UBC	9026	HIP1R
7316	UBC	51132	RLIM
7316	UBC	6737	TRIM21
7316	UBC	84313	VPS25
7316	UBC	891	CCNB1
7316	UBC	8900	CCNA1
7316	UBC	6117	RPA1
7316	UBC	1022	CDK7
7316	UBC	6498	SKIL
7316	UBC	51455	REV1
7316	UBC	79139	DERL1
7316	UBC	57520	HECW2
7316	UBC	4331	MNAT1
7316	UBC	3093	UBE2K
7316	UBC	8924	HERC2
7316	UBC	51433	ANAPC5
7316	UBC	5934	RBL2
7316	UBC	4087	SMAD2
7316	UBC	27033	ZBTB32
7316	UBC	10075	HUWE1
7316	UBC	57531	HACE1
7316	UBC	54926	UBE2R2
7316	UBC	10096	ACTR3
7316	UBC	2033	EP300
7316	UBC	2034	EPAS1
7316	UBC	10254	STAM2
7316	UBC	8916	HERC3
7316	UBC	55008	HERC6
7316	UBC	51191	HERC5
7316	UBC	8452	CUL3
7316	UBC	27338	UBE2S
7316	UBC	51665	ASB1
7316	UBC	23291	FBXW11
7316	UBC	2965	GTF2H1
7316	UBC	7320	UBE2B
7316	UBC	11059	WWP1
7316	UBC	1017	CDK2
7316	UBC	5286	PIK3C2A
7316	UBC	1213	CLTC
7316	UBC	2064	ERBB2
7316	UBC	6455	SH3GL1
7316	UBC	6233	RPS27A
7316	UBC	140739	UBE2F
7316	UBC	9616	RNF7
7316	UBC	890	CCNA2
7316	UBC	6502	SKP2
7316	UBC	1956	EGFR
7316	UBC	142685	ASB15
7316	UBC	140459	ASB6
7316	UBC	4851	NOTCH1
7316	UBC	55294	FBXW7
7316	UBC	89910	UBE3B
7316	UBC	10393	ANAPC10
7316	UBC	27243	CHMP2A
7316	UBC	55215	FANCI
7316	UBC	5519	PPP2R1B
7316	UBC	6400	SEL1L
7316	UBC	5431	POLR2B
7316	UBC	55236	UBA6
7316	UBC	51130	ASB3
7316	UBC	29882	ANAPC2
7316	UBC	163	AP2B1
7316	UBC	998	CDC42
7316	UBC	2580	GAK
7316	UBC	5430	POLR2A
7316	UBC	8239	USP9X
7316	UBC	7334	UBE2N
7316	UBC	79643	CHMP6
7316	UBC	10956	OS9
7316	UBC	5426	POLE
7316	UBC	84231	TRAF7
7316	UBC	22905	EPN2
7316	UBC	90933	TRIM41
7316	UBC	140461	ASB8
7316	UBC	51666	ASB4
7316	UBC	5441	POLR2L
7316	UBC	5518	PPP2R1A
7316	UBC	2932	GSK3B
7316	UBC	8454	CUL1
7316	UBC	140460	ASB7
7316	UBC	4734	NEDD4
7316	UBC	6612	SUMO3
7316	UBC	9146	HGS
7316	UBC	55666	NPLOC4
7316	UBC	140691	TRIM69
7316	UBC	4088	SMAD3
7316	UBC	7318	UBA7
7316	UBC	3320	HSP90AA1
7316	UBC	6049	RNF6
7316	UBC	7398	USP1
7316	UBC	7874	USP7
7316	UBC	7332	UBE2L3
7316	UBC	11065	UBE2C
7316	UBC	7323	UBE2D3
7316	UBC	51529	ANAPC11
7316	UBC	79754	ASB13
7316	UBC	10097	ACTR2
7316	UBC	51028	VPS36
7316	UBC	6497	SKI
7316	UBC	5111	PCNA
26234	FBXL5	9978	RBX1
4542	MYO1F	4641	MYO1C
4542	MYO1F	4646	MYO6
9232	PTTG1	991	CDC20
9232	PTTG1	11065	UBE2C
9232	PTTG1	51343	FZR1
84747	UNC119B	403	ARL3
23373	CRTC1	1385	CREB1
10516	FBLN5	4236	MFAP1
56479	KCNQ5	9196	KCNAB3
56479	KCNQ5	8514	KCNAB2
56479	KCNQ5	7881	KCNAB1
56479	KCNQ5	83988	NCALD
144165	PRICKLE1	81839	VANGL1
144165	PRICKLE1	57216	VANGL2
9045	RPL14	4736	RPL10A
9045	RPL14	6166	RPL36AL
9045	RPL14	6193	RPS5
9045	RPL14	6128	RPL6
9045	RPL14	6142	RPL18A
9045	RPL14	6143	RPL19
9045	RPL14	6206	RPS12
9045	RPL14	6122	RPL3
9045	RPL14	6227	RPS21
9045	RPL14	6176	RPLP1
9045	RPL14	6157	RPL27A
9045	RPL14	6133	RPL9
9045	RPL14	6144	RPL21
9045	RPL14	6191	RPS4X
9045	RPL14	6231	RPS26
9045	RPL14	6189	RPS3A
9045	RPL14	3921	RPSA
9045	RPL14	200916	RPL22L1
9045	RPL14	6146	RPL22
9045	RPL14	6204	RPS10
9045	RPL14	2107	ETF1
9045	RPL14	6136	RPL12
9045	RPL14	6232	RPS27
9045	RPL14	6170	RPL39
9045	RPL14	6125	RPL5
9045	RPL14	6130	RPL7A
9045	RPL14	4116	MAGOH
9045	RPL14	6135	RPL11
9045	RPL14	6224	RPS20
9045	RPL14	6194	RPS6
9045	RPL14	23521	RPL13A
9045	RPL14	6152	RPL24
9045	RPL14	7311	UBA52
9045	RPL14	9349	RPL23
9045	RPL14	6164	RPL34
9045	RPL14	6235	RPS29
9045	RPL14	6202	RPS8
9045	RPL14	6161	RPL32
9045	RPL14	6160	RPL31
9045	RPL14	6147	RPL23A
9045	RPL14	6165	RPL35A
9045	RPL14	2935	GSPT1
9045	RPL14	6158	RPL28
9045	RPL14	6173	RPL36A
9045	RPL14	6229	RPS24
9045	RPL14	6168	RPL37A
9045	RPL14	6728	SRP19
9045	RPL14	6230	RPS25
9045	RPL14	6139	RPL17
9045	RPL14	6188	RPS3
9045	RPL14	6207	RPS13
9045	RPL14	6141	RPL18
9045	RPL14	6209	RPS15
9045	RPL14	6223	RPS19
9045	RPL14	6234	RPS28
9045	RPL14	6192	RPS4Y1
9045	RPL14	6217	RPS16
9045	RPL14	6155	RPL27
9045	RPL14	25873	RPL36
9045	RPL14	11224	RPL35
9045	RPL14	6132	RPL8
9045	RPL14	51121	RPL26L1
9045	RPL14	6123	RPL3L
9045	RPL14	9775	EIF4A3
9045	RPL14	6233	RPS27A
9045	RPL14	6205	RPS11
9045	RPL14	6167	RPL37
9045	RPL14	6156	RPL30
9045	RPL14	140032	RPS4Y2
9045	RPL14	6154	RPL26
9045	RPL14	6159	RPL29
9045	RPL14	6228	RPS23
9045	RPL14	116832	RPL39L
9045	RPL14	140801	RPL10L
9045	RPL14	6124	RPL4
9045	RPL14	6137	RPL13
9045	RPL14	6138	RPL15
9045	RPL14	6169	RPL38
9045	RPL14	6208	RPS14
9045	RPL14	26986	PABPC1
9045	RPL14	6210	RPS15A
9045	RPL14	55110	MAGOHB
9045	RPL14	6181	RPLP2
9045	RPL14	1915	EEF1A1
9045	RPL14	51065	RPS27L
9045	RPL14	6175	RPLP0
9045	RPL14	6201	RPS7
9045	RPL14	6129	RPL7
9045	RPL14	23708	GSPT2
9045	RPL14	6187	RPS2
9045	RPL14	6134	RPL10
22941	SHANK2	9228	DLGAP2
22941	SHANK2	28988	DBNL
22941	SHANK2	58512	DLGAP3
22941	SHANK2	9456	HOMER1
22941	SHANK2	9229	DLGAP1
29978	UBQLN2	22905	EPN2
29978	UBQLN2	29924	EPN1
3516	RBPJ	1387	CREBBP
3516	RBPJ	2033	EP300
3516	RBPJ	4854	NOTCH3
3516	RBPJ	4851	NOTCH1
3516	RBPJ	9794	MAML1
3516	RBPJ	8841	HDAC3
3516	RBPJ	3065	HDAC1
3516	RBPJ	4855	NOTCH4
3516	RBPJ	1385	CREB1
3516	RBPJ	3066	HDAC2
7171	TPM4	7135	TNNI1
7171	TPM4	7137	TNNI3
7171	TPM4	7273	TTN
7171	TPM4	4635	MYL4
7171	TPM4	4624	MYH6
7171	TPM4	7414	VCL
7171	TPM4	140465	MYL6B
7171	TPM4	10627	MYL12A
7171	TPM4	93408	MYL10
7171	TPM4	7431	VIM
7171	TPM4	58498	MYL7
7171	TPM4	59	ACTA2
7171	TPM4	4621	MYH3
7171	TPM4	5829	PXN
7171	TPM4	103910	MYL12B
7171	TPM4	4633	MYL2
7171	TPM4	7134	TNNC1
7171	TPM4	7136	TNNI2
7171	TPM4	1756	DMD
7171	TPM4	88	ACTN2
7171	TPM4	25802	LMOD1
7171	TPM4	7139	TNNT2
7171	TPM4	7125	TNNC2
7171	TPM4	4629	MYH11
7171	TPM4	4703	NEB
7171	TPM4	4636	MYL5
7171	TPM4	4626	MYH8
7171	TPM4	4637	MYL6
7171	TPM4	7138	TNNT1
7171	TPM4	10398	MYL9
7171	TPM4	7140	TNNT3
7171	TPM4	72	ACTG2
7171	TPM4	4634	MYL3
7171	TPM4	4632	MYL1
7171	TPM4	29895	MYLPF
79869	CPSF7	4670	HNRNPM
79869	CPSF7	83443	SF3B5
79869	CPSF7	9295	SRSF11
79869	CPSF7	6426	SRSF1
79869	CPSF7	53981	CPSF2
79869	CPSF7	11051	NUDT21
79869	CPSF7	79228	THOC6
79869	CPSF7	27339	PRPF19
79869	CPSF7	8683	SRSF9
25813	SAMM50	4580	MTX1
57556	SEMA6A	91584	PLXNA4
57556	SEMA6A	5362	PLXNA2
4734	NEDD4	7324	UBE2E1
4734	NEDD4	7314	UBB
4734	NEDD4	7334	UBE2N
4734	NEDD4	7318	UBA7
4734	NEDD4	7332	UBE2L3
4734	NEDD4	7316	UBC
4734	NEDD4	7323	UBE2D3
4734	NEDD4	65264	UBE2Z
4734	NEDD4	148581	UBE2U
4734	NEDD4	7319	UBE2A
4734	NEDD4	23327	NEDD4L
4734	NEDD4	7321	UBE2D1
4734	NEDD4	9636	ISG15
4734	NEDD4	10477	UBE2E3
4734	NEDD4	7326	UBE2G1
4734	NEDD4	7325	UBE2E2
4734	NEDD4	7322	UBE2D2
4734	NEDD4	7311	UBA52
4734	NEDD4	51465	UBE2J1
4734	NEDD4	51619	UBE2D4
4734	NEDD4	997	CDC34
4734	NEDD4	9246	UBE2L6
4734	NEDD4	3093	UBE2K
4734	NEDD4	54926	UBE2R2
4734	NEDD4	27338	UBE2S
4734	NEDD4	7320	UBE2B
4734	NEDD4	6233	RPS27A
1869	E2F1	5933	RBL1
1869	E2F1	8900	CCNA1
1869	E2F1	1871	E2F3
1869	E2F1	1017	CDK2
1869	E2F1	5925	RB1
1869	E2F1	890	CCNA2
1869	E2F1	8841	HDAC3
1869	E2F1	6667	SP1
1869	E2F1	4692	NDN
1869	E2F1	3065	HDAC1
1869	E2F1	5928	RBBP4
1869	E2F1	7027	TFDP1
1869	E2F1	7029	TFDP2
2624	GATA2	161882	ZFPM1
2624	GATA2	23414	ZFPM2
5878	RAB5C	9341	VAMP3
5878	RAB5C	10053	AP1M2
5878	RAB5C	8674	VAMP4
5878	RAB5C	29993	PACSIN1
5878	RAB5C	9026	HIP1R
5878	RAB5C	6845	VAMP7
5878	RAB5C	10096	ACTR3
5878	RAB5C	11252	PACSIN2
5878	RAB5C	29763	PACSIN3
5878	RAB5C	8673	VAMP8
5878	RAB5C	375	ARF1
5878	RAB5C	1173	AP2M1
5878	RAB5C	6844	VAMP2
5878	RAB5C	22905	EPN2
5878	RAB5C	1785	DNM2
5878	RAB5C	50618	ITSN2
5878	RAB5C	54885	TBC1D8B
5878	RAB5C	26052	DNM3
5878	RAB5C	1759	DNM1
5878	RAB5C	10097	ACTR2
5878	RAB5C	6453	ITSN1
5878	RAB5C	26130	GAPVD1
5878	RAB5C	7311	UBA52
5878	RAB5C	8907	AP1M1
5878	RAB5C	29924	EPN1
4800	NFYA	4801	NFYB
4800	NFYA	6667	SP1
4800	NFYA	4802	NFYC
3767	KCNJ11	10060	ABCC9
3767	KCNJ11	6833	ABCC8
1861	TOR1A	51138	COPS4
1861	TOR1A	85439	STON2
1861	TOR1A	9318	COPS2
1861	TOR1A	11037	STON1
1739	DLG1	4897	NRCAM
1739	DLG1	2898	GRIK2
1739	DLG1	83988	NCALD
1739	DLG1	57622	LRFN1
1739	DLG1	324	APC
1739	DLG1	78999	LRFN4
1739	DLG1	57497	LRFN2
6338	SCNN1B	6340	SCNN1G
6338	SCNN1B	6339	SCNN1D
7005	TEAD3	10413	YAP1
54820	NDE1	8655	DYNLL1
54820	NDE1	146057	TTBK2
54820	NDE1	5885	RAD21
54820	NDE1	6249	CLIP1
54820	NDE1	7532	YWHAG
54820	NDE1	10726	NUDC
54820	NDE1	8243	SMC1A
54820	NDE1	5501	PPP1CC
54820	NDE1	1778	DYNC1H1
54820	NDE1	5116	PCNT
54820	NDE1	9126	SMC3
54820	NDE1	1063	CENPF
54820	NDE1	22919	MAPRE1
54820	NDE1	347240	KIF24
54820	NDE1	9738	CCP110
54820	NDE1	1781	DYNC1I2
54820	NDE1	5048	PAFAH1B1
54820	NDE1	10540	DCTN2
10762	NUP50	9631	NUP155
10762	NUP50	57122	NUP107
10762	NUP50	79902	NUP85
10762	NUP50	79023	NUP37
10762	NUP50	84271	POLDIP3
10762	NUP50	23225	NUP210
10762	NUP50	53371	NUP54
10762	NUP50	9972	NUP153
10762	NUP50	55746	NUP133
10762	NUP50	5903	RANBP2
10762	NUP50	23165	NUP205
10762	NUP50	10482	NXF1
10762	NUP50	129401	NUP35
10762	NUP50	10921	RNPS1
10762	NUP50	23636	NUP62
10762	NUP50	9688	NUP93
10762	NUP50	10250	SRRM1
10762	NUP50	348995	NUP43
10762	NUP50	5905	RANGAP1
10762	NUP50	8021	NUP214
10762	NUP50	7175	TPR
10762	NUP50	8480	RAE1
10762	NUP50	4686	NCBP1
10762	NUP50	23279	NUP160
10762	NUP50	4927	NUP88
6227	RPS21	6156	RPL30
6227	RPS21	6193	RPS5
6227	RPS21	6128	RPL6
6227	RPS21	6142	RPL18A
6227	RPS21	8664	EIF3D
6227	RPS21	6143	RPL19
6227	RPS21	6206	RPS12
6227	RPS21	27335	EIF3K
6227	RPS21	6192	RPS4Y1
6227	RPS21	6217	RPS16
6227	RPS21	25873	RPL36
6227	RPS21	8666	EIF3G
6227	RPS21	6155	RPL27
6227	RPS21	1965	EIF2S1
6227	RPS21	11224	RPL35
6227	RPS21	6132	RPL8
6227	RPS21	55781	RIOK2
6227	RPS21	56902	PNO1
6227	RPS21	51121	RPL26L1
6227	RPS21	6123	RPL3L
6227	RPS21	9775	EIF4A3
6227	RPS21	6205	RPS11
6227	RPS21	6233	RPS27A
6227	RPS21	6167	RPL37
6227	RPS21	140032	RPS4Y2
6227	RPS21	6159	RPL29
6227	RPS21	6154	RPL26
6227	RPS21	1973	EIF4A1
6227	RPS21	140801	RPL10L
6227	RPS21	116832	RPL39L
6227	RPS21	6228	RPS23
6227	RPS21	6169	RPL38
6227	RPS21	6137	RPL13
6227	RPS21	6138	RPL15
6227	RPS21	8665	EIF3F
6227	RPS21	6208	RPS14
6227	RPS21	6124	RPL4
6227	RPS21	6210	RPS15A
6227	RPS21	55110	MAGOHB
6227	RPS21	6181	RPLP2
6227	RPS21	1974	EIF4A2
6227	RPS21	1915	EEF1A1
6227	RPS21	51065	RPS27L
6227	RPS21	8663	EIF3C
6227	RPS21	6175	RPLP0
6227	RPS21	6201	RPS7
6227	RPS21	9045	RPL14
6227	RPS21	23708	GSPT2
6227	RPS21	6129	RPL7
6227	RPS21	6134	RPL10
6227	RPS21	6187	RPS2
6227	RPS21	6122	RPL3
6227	RPS21	6166	RPL36AL
6227	RPS21	6157	RPL27A
6227	RPS21	6133	RPL9
6227	RPS21	6144	RPL21
6227	RPS21	6176	RPLP1
6227	RPS21	6231	RPS26
6227	RPS21	6189	RPS3A
6227	RPS21	3921	RPSA
6227	RPS21	200916	RPL22L1
6227	RPS21	6146	RPL22
6227	RPS21	6204	RPS10
6227	RPS21	2107	ETF1
6227	RPS21	6136	RPL12
6227	RPS21	8662	EIF3B
6227	RPS21	6170	RPL39
6227	RPS21	8661	EIF3A
6227	RPS21	6232	RPS27
6227	RPS21	6125	RPL5
6227	RPS21	4116	MAGOH
6227	RPS21	6130	RPL7A
6227	RPS21	8668	EIF3I
6227	RPS21	6191	RPS4X
6227	RPS21	4736	RPL10A
6227	RPS21	6135	RPL11
6227	RPS21	8894	EIF2S2
6227	RPS21	1964	EIF1AX
6227	RPS21	10557	RPP38
6227	RPS21	6194	RPS6
6227	RPS21	23521	RPL13A
6227	RPS21	6152	RPL24
6227	RPS21	6202	RPS8
6227	RPS21	9349	RPL23
6227	RPS21	6164	RPL34
6227	RPS21	6235	RPS29
6227	RPS21	6161	RPL32
6227	RPS21	6160	RPL31
6227	RPS21	6173	RPL36A
6227	RPS21	7311	UBA52
