V1	V2	V3	V4
5729	PTGDR	2778	GNAS
5731	PTGER1	5730	PTGDS
5732	PTGER2	5730	PTGDS
5737	PTGFR	5730	PTGDS
5738	PTGFRN	3732	CD82
5739	PTGIR	2778	GNAS
5739	PTGIR	2776	GNAQ
5744	PTHLH	5745	PTHR1
5745	PTHR1	408	ARRB1
5745	PTHR1	5741	PTH
5747	PTK2	1785	DNM2
5747	PTK2	8737	RIPK1
5747	PTK2	7414	VCL
5747	PTK2	6401	SELE
5747	PTK2	2534	FYN
5747	PTK2	3667	IRS1
5747	PTK2	2064	ERBB2
5747	PTK2	5295	PIK3R1
5747	PTK2	324	APC
5747	PTK2	5781	PTPN11
5747	PTK2	2065	ERBB3
5747	PTK2	274	BIN1
5747	PTK2	8440	NCK2
5747	PTK2	5500	PPP1CB
5747	PTK2	9821	RB1CC1
5747	PTK2	5794	PTPRH
5747	PTK2	2886	GRB7
5747	PTK2	961	CD47
5747	PTK2	8835	SOCS2
5747	PTK2	9140	ATG12
5747	PTK2	7205	TRIP6
5747	PTK2	6772	STAT1
5747	PTK2	1398	CRK
5747	PTK2	1234	CCR5
5747	PTK2	7852	CXCR4
5747	PTK2	1969	EPHA2
5747	PTK2	2268	FGR
5747	PTK2	7157	TP53
5757	PTMA	983	CDC2
5757	PTMA	1017	CDK2
5757	PTMA	1019	CDK4
5757	PTMA	890	CCNA2
5757	PTMA	3303	HSPA1A
5757	PTMA	5111	PCNA
5757	PTMA	8290	HIST3H3
5757	PTMA	5901	RAN
5757	PTMA	8349	HIST2H2BE
5757	PTMA	10204	NUTF2
5757	PTMA	8359	HIST1H4A
5757	PTMA	6418	SET
5757	PTMA	3066	HDAC2
5757	PTMA	9611	NCOR1
5757	PTMA	25942	SIN3A
5757	PTMA	1387	CREBBP
5757	PTMA	2033	EP300
5764	PTN	51588	PIAS4
5764	PTN	5803	PTPRZ1
5764	PTN	6382	SDC1
5770	PTPN1	2885	GRB2
5770	PTPN1	1000	CDH2
5770	PTPN1	1499	CTNNB1
5770	PTPN1	3480	IGF1R
5770	PTPN1	4058	LTK
5770	PTPN1	4916	NTRK3
5770	PTPN1	7297	TYK2
5770	PTPN1	4915	NTRK2
5770	PTPN1	4914	NTRK1
5770	PTPN1	3667	IRS1
5771	PTPN2	6714	SRC
5771	PTPN2	6774	STAT3
5771	PTPN2	2690	GHR
5775	PTPN4	23140	ZZEF1
5775	PTPN4	4023	LPL
5775	PTPN4	10524	KAT5
5775	PTPN4	2903	GRIN2A
5777	PTPN6	613	BCR
5777	PTPN6	3977	LIFR
5777	PTPN6	921	CD5
5777	PTPN6	3932	LCK
5777	PTPN6	5175	PECAM1
5777	PTPN6	6777	STAT5B
5777	PTPN6	1500	CTNND1
5777	PTPN6	8471	IRS4
5777	PTPN6	3937	LCP2
5777	PTPN6	7297	TYK2
5777	PTPN6	7852	CXCR4
5777	PTPN6	3643	INSR
5777	PTPN6	5295	PIK3R1
5777	PTPN6	2057	EPOR
5777	PTPN6	4842	NOS1
5777	PTPN6	55824	PAG1
5777	PTPN6	3206	HOXA10
5777	PTPN6	3716	JAK1
5777	PTPN6	80021	TMEM62
5780	PTPN9	10313	RTN3
5781	PTPN11	3480	IGF1R
5781	PTPN11	3977	LIFR
5781	PTPN11	5295	PIK3R1
5781	PTPN11	5175	PECAM1
5781	PTPN11	3903	LAIR1
5781	PTPN11	10818	FRS2
5781	PTPN11	6776	STAT5A
5781	PTPN11	1003	CDH5
5781	PTPN11	8471	IRS4
5781	PTPN11	1399	CRKL
5781	PTPN11	7075	TIE1
5781	PTPN11	10817	FRS3
5781	PTPN11	6774	STAT3
5781	PTPN11	6464	SHC1
5781	PTPN11	6777	STAT5B
5781	PTPN11	1441	CSF3R
5781	PTPN11	9021	SOCS3
5781	PTPN11	3667	IRS1
5781	PTPN11	6401	SELE
5782	PTPN12	1081	CGA
5782	PTPN12	54881	TEX10
5782	PTPN12	7402	UTRN
5782	PTPN12	1442	CSH1
5782	PTPN12	23077	MYCBP2
5782	PTPN12	7917	BAT3
5782	PTPN12	5678	PSG9
5782	PTPN12	9904	RBM19
5782	PTPN12	80108	ZFP2
5782	PTPN12	8675	STX16
5782	PTPN12	2885	GRB2
5782	PTPN12	3643	INSR
5782	PTPN12	9564	BCAR1
5782	PTPN12	9051	PSTPIP1
5782	PTPN12	6464	SHC1
5782	PTPN12	5747	PTK2
5782	PTPN12	5829	PXN
5782	PTPN12	2185	PTK2B
5782	PTPN12	7041	TGFB1I1
5783	PTPN13	356	FASLG
5783	PTPN13	1499	CTNNB1
5783	PTPN13	355	FAS
5784	PTPN14	7082	TJP1
5784	PTPN14	3728	JUP
5786	PTPRA	3737	KCNA2
5787	PTPRB	4897	NRCAM
5787	PTPRB	1272	CNTN1
5787	PTPRB	260425	MAGI3
5787	PTPRB	1003	CDH5
5788	PTPRC	2885	GRB2
5788	PTPRC	3667	IRS1
5788	PTPRC	5047	PAEP
5788	PTPRC	23193	GANAB
5788	PTPRC	5589	PRKCSH
5788	PTPRC	925	CD8A
5788	PTPRC	920	CD4
5788	PTPRC	919	CD247
5789	PTPRD	8541	PPFIA3
5789	PTPRD	8499	PPFIA2
5789	PTPRD	8500	PPFIA1
5791	PTPRE	2885	GRB2
5791	PTPRE	3745	KCNB1
5792	PTPRF	1499	CTNNB1
5792	PTPRF	8499	PPFIA2
5792	PTPRF	8541	PPFIA3
5792	PTPRF	7204	TRIO
5794	PTPRH	9564	BCAR1
5795	PTPRJ	27040	LAT
5795	PTPRJ	6386	SDCBP
5795	PTPRJ	1500	CTNND1
5795	PTPRJ	1499	CTNNB1
5796	PTPRK	1499	CTNNB1
5797	PTPRM	1500	CTNND1
5798	PTPRN	4842	NOS1
5798	PTPRN	57731	SPTBN4
5798	PTPRN	8567	MADD
5798	PTPRN	5478	PPIA
5799	PTPRN2	57731	SPTBN4
5799	PTPRN2	56893	UBQLN4
5801	PTPRR	5594	MAPK1
5801	PTPRR	5595	MAPK3
5801	PTPRR	5598	MAPK7
5802	PTPRS	8541	PPFIA3
5802	PTPRS	8499	PPFIA2
5802	PTPRS	8500	PPFIA1
5802	PTPRS	1107	CHD3
5802	PTPRS	5217	PFN2
5802	PTPRS	10813	UTP14A
5802	PTPRS	10524	KAT5
5802	PTPRS	197131	UBR1
5802	PTPRS	5764	PTN
5802	PTPRS	57562	KIAA1377
5802	PTPRS	9094	UNC119
5802	PTPRS	5789	PTPRD
5803	PTPRZ1	1499	CTNNB1
5806	PTX3	714	C1QC
5810	RAD1	5884	RAD17
5810	RAD1	81631	MAP1LC3B
5813	PURA	5925	RB1
5813	PURA	1869	E2F1
5813	PURA	11033	ADAP1
5817	PVR	6990	DYNLT3
5817	PVR	25945	PVRL3
5824	PEX19	10478	SLC25A17
5824	PEX19	8800	PEX11A
5825	ABCD3	225	ABCD2
5825	ABCD3	1292	COL6A2
5826	ABCD4	8682	PEA15
5828	PXMP3	11161	C14orf1
5828	PXMP3	7088	TLE1
5829	PXN	6401	SELE
5829	PXN	3688	ITGB1
5829	PXN	3655	ITGA6
5829	PXN	1398	CRK
5829	PXN	5781	PTPN11
5829	PXN	25	ABL1
5829	PXN	6714	SRC
5829	PXN	5794	PTPRH
5829	PXN	2185	PTK2B
5829	PXN	3932	LCK
5829	PXN	4690	NCK1
5829	PXN	26986	PABPC1
5830	PEX5	23410	SIRT3
5861	RAB1A	10567	RABAC1
5861	RAB1A	826	CAPNS1
5861	RAB1A	1385	CREB1
5861	RAB1A	3096	HIVEP1
5861	RAB1A	23539	SLC16A8
5861	RAB1A	79735	TBC1D17
5861	RAB1A	55312	RFK
5863	RGL2	5908	RAP1B
5863	RGL2	60492	CCDC90B
5863	RGL2	10524	KAT5
5863	RGL2	11143	MYST2
5863	RGL2	9094	UNC119
5863	RGL2	1400	CRMP1
5864	RAB3A	1121	CHM
5864	RAB3A	23312	DMXL2
5864	RAB3A	10567	RABAC1
5864	RAB3A	117177	RAB3IP
5864	RAB3A	22999	RIMS1
5864	RAB3A	9699	RIMS2
5864	RAB3A	22895	RPH3A
5865	RAB3B	9699	RIMS2
5865	RAB3B	9501	RPH3AL
5865	RAB3B	22895	RPH3A
5865	RAB3B	5284	PIGR
5866	RAB3IL1	5864	RAB3A
5866	RAB3IL1	8766	RAB11A
5866	RAB3IL1	117177	RAB3IP
5867	RAB4A	6810	STX4
5867	RAB4A	9371	KIF3B
5867	RAB4A	10307	APBB3
5868	RAB5A	6810	STX4
5868	RAB5A	9610	RIN1
5869	RAB5B	9610	RIN1
5870	RAB6A	23085	ERC1
5870	RAB6A	1639	DCTN1
5871	MAP4K2	4214	MAP3K1
5871	MAP4K2	4296	MAP3K11
5873	RAB27A	54843	SYTL2
5873	RAB27A	94122	SYTL5
5873	RAB27A	94121	SYTL4
5873	RAB27A	84958	SYTL1
5873	RAB27A	79083	MLPH
5873	RAB27A	9501	RPH3AL
5873	RAB27A	25924	MYRIP
5873	RAB27A	22895	RPH3A
5873	RAB27A	7704	ZBTB16
5873	RAB27A	11161	C14orf1
5873	RAB27A	10980	COPS6
5873	RAB27A	84060	C7orf64
5873	RAB27A	2661	GDF9
5873	RAB27A	57562	KIAA1377
5873	RAB27A	55791	C1orf103
5874	RAB27B	79083	MLPH
5874	RAB27B	94121	SYTL4
5874	RAB27B	9501	RPH3AL
5876	RABGGTB	5864	RAB3A
5877	RABIF	10542	HBXIP
5877	RABIF	10813	UTP14A
5877	RABIF	5864	RAB3A
5879	RAC1	398	ARHGDIG
5879	RAC1	6774	STAT3
5879	RAC1	5295	PIK3R1
5879	RAC1	7454	WAS
5879	RAC1	4690	NCK1
5879	RAC1	397	ARHGDIB
5879	RAC1	8826	IQGAP1
5879	RAC1	5910	RAP1GDS1
5879	RAC1	752	FMNL1
5879	RAC1	23616	SH3BP1
5879	RAC1	5062	PAK2
5879	RAC1	9181	ARHGEF2
5879	RAC1	57144	PAK7
5879	RAC1	84218	TBC1D3
5879	RAC1	7409	VAV1
5879	RAC1	56882	CDC42SE1
5879	RAC1	56990	CDC42SE2
5879	RAC1	1794	DOCK2
5879	RAC1	10788	IQGAP2
5879	RAC1	4216	MAP3K4
5879	RAC1	29109	FHOD1
5879	RAC1	10451	VAV3
5879	RAC1	8871	SYNJ2
5879	RAC1	10787	NCKAP1
5879	RAC1	3895	KTN1
5879	RAC1	5584	PRKCI
5879	RAC1	6780	STAU1
5879	RAC1	84612	PARD6B
5880	RAC2	998	CDC42
5880	RAC2	8454	CUL1
5880	RAC2	1794	DOCK2
5881	RAC3	10519	CIB1
5883	RAD9A	5111	PCNA
5883	RAD9A	11073	TOPBP1
5883	RAD9A	5884	RAD17
5883	RAD9A	11200	CHEK2
5883	RAD9A	367	AR
5883	RAD9A	135458	HUS1B
5883	RAD9A	63967	CLSPN
5883	RAD9A	25	ABL1
5884	RAD17	5426	POLE
5885	RAD21	10735	STAG2
5886	RAD23A	2033	EP300
5886	RAD23A	6184	RPN1
5887	RAD23B	5710	PSMD4
5887	RAD23B	6996	TDG
5888	RAD51	6117	RPA1
5888	RAD51	7329	UBE2I
5888	RAD51	7341	SUMO1
5888	RAD51	5889	RAD51C
5888	RAD51	472	ATM
5888	RAD51	9093	DNAJA3
5889	RAD51C	7517	XRCC3
5889	RAD51C	5892	RAD51L3
5890	RAD51L1	5892	RAD51L3
5891	RAGE	3725	JUN
5891	RAGE	4609	MYC
5892	RAD51L3	7517	XRCC3
5892	RAD51L3	641	BLM
5893	RAD52	7329	UBE2I
5893	RAD52	7341	SUMO1
5894	RAF1	6788	STK3
5894	RAF1	5911	RAP2A
5894	RAF1	5300	PIN1
5894	RAF1	993	CDC25A
5894	RAF1	596	BCL2
5894	RAF1	3932	LCK
5894	RAF1	4217	MAP3K5
5894	RAF1	8837	CFLAR
5894	RAF1	6714	SRC
5894	RAF1	7409	VAV1
5894	RAF1	51765	RP6-213H19.1
5894	RAF1	22808	MRAS
5894	RAF1	8036	SHOC2
5894	RAF1	5581	PRKCE
5894	RAF1	2786	GNG4
5894	RAF1	5592	PRKG1
5894	RAF1	3717	JAK2
5896	RAG1	3146	HMGB1
5896	RAG1	3148	HMGB2
5896	RAG1	5897	RAG2
5898	RALA	8531	CSDA
5898	RALA	11336	EXOC3
5898	RALA	23265	EXOC7
5898	RALA	60412	EXOC4
5898	RALA	10640	EXOC5
5898	RALA	55763	EXOC1
5898	RALA	5337	PLD1
5899	RALB	85021	REPS1
5900	RALGDS	5912	RAP2B
5900	RALGDS	5911	RAP2A
5901	RAN	25	ABL1
5901	RAN	57510	XPO5
5901	RAN	29107	NXT1
5901	RAN	51194	IPO11
5901	RAN	6749	SSRP1
5901	RAN	7514	XPO1
5901	RAN	91754	NEK9
5903	RANBP2	3837	KPNB1
5905	RANGAP1	5903	RANBP2
5905	RANGAP1	5901	RAN
5905	RANGAP1	6613	SUMO2
5906	RAP1A	5921	RASA1
5906	RAP1A	10636	RGS14
5906	RAP1A	10567	RABAC1
5909	RAP1GAP	84206	MEX3B
5909	RAP1GAP	5217	PFN2
5910	RAP1GDS1	387	RHOA
5910	RAP1GDS1	5906	RAP1A
5910	RAP1GDS1	3265	HRAS
5910	RAP1GDS1	3845	KRAS
5910	RAP1GDS1	51562	MBIP
5910	RAP1GDS1	26036	ZNF451
5910	RAP1GDS1	22920	KIFAP3
5913	RAPSN	1605	DAG1
5914	RARA	8648	NCOA1
5914	RARA	896	CCND3
5914	RARA	8204	NRIP1
5914	RARA	8805	TRIM24
5914	RARA	5469	MED1
5914	RARA	29982	NRBF2
5914	RARA	50805	IRX4
5914	RARA	4862	NPAS2
5914	RARA	10062	NR1H3
5914	RARA	7704	ZBTB16
5914	RARA	55629	PNRC2
5914	RARA	9325	TRIP4
5914	RARA	8431	NR0B2
5914	RARA	10474	TADA3L
5914	RARA	7337	UBE3A
5916	RARG	6256	RXRA
5916	RARG	8648	NCOA1
5916	RARG	6258	RXRG
5917	RARS	5859	QARS
5921	RASA1	9212	AURKB
5921	RASA1	2885	GRB2
5921	RASA1	2242	FES
5921	RASA1	10146	G3BP1
5921	RASA1	3480	IGF1R
5921	RASA1	2048	EPHB2
5921	RASA1	921	CD5
5921	RASA1	9021	SOCS3
5921	RASA1	1436	CSF1R
5921	RASA1	5788	PTPRC
5921	RASA1	7535	ZAP70
5921	RASA1	6714	SRC
5921	RASA1	5829	PXN
5921	RASA1	7525	YES1
5921	RASA1	2049	EPHB3
5925	RB1	4194	MDM4
5925	RB1	55814	BDP1
5925	RB1	6908	TBP
5925	RB1	1053	CEBPE
5925	RB1	5987	TRIM27
5925	RB1	10765	JARID1B
5925	RB1	54796	BNC2
5925	RB1	7704	ZBTB16
5925	RB1	5594	MAPK1
5925	RB1	5295	PIK3R1
5925	RB1	1523	CUX1
5925	RB1	5245	PHB
5925	RB1	6667	SP1
5925	RB1	1051	CEBPB
5925	RB1	4331	MNAT1
5925	RB1	10131	TRAP1
5925	RB1	10403	NDC80
5925	RB1	5932	RBBP8
5925	RB1	9984	THOC1
5925	RB1	8900	CCNA1
5925	RB1	10933	MORF4L1
5925	RB1	6839	SUV39H1
5925	RB1	8535	CBX4
5925	RB1	6689	SPIB
5925	RB1	8841	HDAC3
5925	RB1	6015	RING1
5925	RB1	8507	ENC1
5925	RB1	8575	PRKRA
5925	RB1	7052	TGM2
5925	RB1	6597	SMARCA4
5925	RB1	7799	PRDM2
5925	RB1	4609	MYC
5925	RB1	22938	SNW1
5925	RB1	10620	ARID3B
5925	RB1	1025	CDK9
5928	RBBP4	121536	AEBP2
5928	RBBP4	8819	SAP30
5928	RBBP4	25942	SIN3A
5928	RBBP4	9112	MTA1
5928	RBBP4	6839	SUV39H1
5928	RBBP4	8841	HDAC3
5928	RBBP4	3066	HDAC2
5928	RBBP4	6184	RPN1
5929	RBBP5	5925	RB1
5931	RBBP7	25942	SIN3A
5931	RBBP7	26060	APPL1
5931	RBBP7	55198	APPL2
5932	RBBP8	5933	RBL1
5932	RBBP8	283987	C17orf28
5932	RBBP8	9513	FXR2
5933	RBL1	5927	JARID1A
5934	RBL2	5245	PHB
5934	RBL2	5932	RBBP8
5934	RBL2	55290	BRF2
5934	RBL2	3065	HDAC1
5940	RBMY1A1	10656	KHDRBS3
5947	RBP1	4036	LRP2
5950	RBP4	213	ALB
5956	OPN1LW	5903	RANBP2
5959	RDH5	5995	RGR
5959	RDH5	6017	RLBP1
5962	RDX	9368	SLC9A3R1
5962	RDX	1244	ABCC2
5965	RECQL	3840	KPNA4
5965	RECQL	3838	KPNA2
5966	REL	5531	PPP4C
5966	REL	801	CALM1
5966	REL	4793	NFKBIB
5967	REG1A	5068	REG3A
5970	RELA	1111	CHEK1
5970	RELA	6774	STAT3
5970	RELA	1052	CEBPD
5970	RELA	1958	EGR1
5970	RELA	2908	NR3C1
5970	RELA	3660	IRF2
5970	RELA	5590	PRKCZ
5970	RELA	5451	POU2F1
5970	RELA	1051	CEBPB
5970	RELA	5531	PPP4C
5970	RELA	7291	TWIST1
5970	RELA	10401	PIAS3
5970	RELA	4609	MYC
5970	RELA	196	AHR
5970	RELA	2959	GTF2B
5970	RELA	64320	RNF25
5970	RELA	7080	NKX2-1
5970	RELA	10848	PPP1R13L
5970	RELA	6875	TAF4B
5970	RELA	3066	HDAC2
5970	RELA	10614	HEXIM1
5970	RELA	8841	HDAC3
5970	RELA	8945	BTRC
5970	RELA	23474	ETHE1
5970	RELA	5515	PPP2CA
5970	RELA	4851	NOTCH1
5970	RELA	6256	RXRA
5970	RELA	801	CALM1
5972	REN	4074	M6PR
5973	RENBP	5972	REN
5973	RENBP	9189	ZBED1
5976	UPF1	54512	EXOSC4
5976	UPF1	84528	RHOXF2
5978	REST	23186	RCOR1
5978	REST	23309	SIN3B
5979	RET	6774	STAT3
5979	RET	4902	NRTN
5979	RET	6714	SRC
5979	RET	9046	DOK2
5979	RET	1796	DOK1
5981	RFC1	5983	RFC3
5981	RFC1	5111	PCNA
5981	RFC1	3065	HDAC1
5981	RFC1	5970	RELA
5982	RFC2	5984	RFC4
5982	RFC2	5985	RFC5
5984	RFC4	5111	PCNA
5984	RFC4	63922	CHTF18
5984	RFC4	5983	RFC3
5984	RFC4	5985	RFC5
5984	RFC4	5884	RAD17
5985	RFC5	10980	COPS6
5985	RFC5	84060	C7orf64
5985	RFC5	55791	C1orf103
5985	RFC5	9094	UNC119
5987	TRIM27	23741	EID1
5987	TRIM27	85302	FBF1
5987	TRIM27	7704	ZBTB16
5987	TRIM27	81559	TRIM11
5987	TRIM27	373	TRIM23
5987	TRIM27	3646	EIF3E
5989	RFX1	4784	NFIX
5989	RFX1	4781	NFIB
5989	RFX1	4782	NFIC
5990	RFX2	5989	RFX1
5990	RFX2	222546	RFX6
5991	RFX3	5989	RFX1
5991	RFX3	222546	RFX6
5992	RFX4	2099	ESR1
5992	RFX4	5990	RFX2
5992	RFX4	5991	RFX3
5993	RFX5	4261	CIITA
5993	RFX5	3066	HDAC2
5994	RFXAP	5993	RFX5
5995	RGR	26128	KIAA1279
5996	RGS1	7786	MAP3K12
5996	RGS1	10813	UTP14A
5996	RGS1	65991	FUNDC2
5996	RGS1	8848	TSC22D1
5997	RGS2	2778	GNAS
5997	RGS2	5578	PRKCA
5997	RGS2	5579	PRKCB
5997	RGS2	5582	PRKCG
5997	RGS2	2776	GNAQ
5997	RGS2	22981	RP4-691N24.1
5997	RGS2	9276	COPB2
5997	RGS2	5592	PRKG1
5997	RGS2	54663	WDR74
5997	RGS2	51699	VPS29
5997	RGS2	55738	ARFGAP1
5997	RGS2	5071	PARK2
5997	RGS2	5589	PRKCSH
5997	RGS2	780	DDR1
5997	RGS2	28964	GIT1
5998	RGS3	2773	GNAI3
5998	RGS3	7529	YWHAB
5999	RGS4	5724	PTAFR
5999	RGS4	2776	GNAQ
5999	RGS4	9276	COPB2
6000	RGS7	2781	GNAZ
6000	RGS7	2770	GNAI1
6000	RGS7	2775	GNAO1
6000	RGS7	2773	GNAI3
6000	RGS7	10681	GNB5
6000	RGS7	2776	GNAQ
6002	RGS12	2770	GNAI1
6002	RGS12	2771	GNAI2
6002	RGS12	2773	GNAI3
6004	RGS16	1956	EGFR
6004	RGS16	10672	GNA13
6004	RGS16	2776	GNAQ
6004	RGS16	2773	GNAI3
6004	RGS16	2771	GNAI2
6004	RGS16	2775	GNAO1
6004	RGS16	2770	GNAI1
6010	RHO	6011	GRK1
6014	RIT2	6654	SOS1
6014	RIT2	801	CALM1
6014	RIT2	6018	RLF
6014	RIT2	4301	MLLT4
6014	RIT2	5900	RALGDS
6014	RIT2	23179	RGL1
6015	RING1	23429	RYBP
6015	RING1	60528	ELAC2
6015	RING1	1911	PHC1
6015	RING1	57332	CBX8
6016	RIT1	55791	C1orf103
6016	RIT1	6018	RLF
6041	RNASEL	6059	ABCE1
6045	RNF2	4297	MLL
6045	RNF2	84148	MYST1
6045	RNF2	648	BMI1
6045	RNF2	7024	TFCP2
6046	BRD2	1869	E2F1
6046	BRD2	1870	E2F2
6048	RNF5	5829	PXN
6091	ROBO1	25	ABL1
6092	ROBO2	6091	ROBO1
6092	ROBO2	56893	UBQLN4
6092	ROBO2	6749	SSRP1
6092	ROBO2	84152	PPP1R1B
6092	ROBO2	93145	OLFM2
6093	ROCK1	389	RHOC
6093	ROCK1	993	CDC25A
6096	RORB	4830	NME1
6098	ROS1	5777	PTPN6
6098	ROS1	10451	VAV3
6101	RP1	324	APC
6102	RP2	403	ARL3
6103	RPGR	57096	RPGRIP1
6103	RPGR	5147	PDE6D
6117	RPA1	4171	MCM2
6117	RPA1	4176	MCM7
6117	RPA1	5111	PCNA
6117	RPA1	4438	MSH4
6117	RPA1	4999	ORC2L
6118	RPA2	6774	STAT3
6118	RPA2	4171	MCM2
6118	RPA2	4221	MEN1
6118	RPA2	4999	ORC2L
6118	RPA2	7374	UNG
6118	RPA2	4174	MCM5
6118	RPA2	54	ACP5
6118	RPA2	10980	COPS6
6118	RPA2	84060	C7orf64
6118	RPA2	9094	UNC119
6118	RPA2	1400	CRMP1
6118	RPA2	57562	KIAA1377
6118	RPA2	55791	C1orf103
6118	RPA2	10813	UTP14A
6118	RPA2	7088	TLE1
6118	RPA2	5893	RAD52
6119	RPA3	4171	MCM2
6124	RPL4	9020	MAP3K14
6128	RPL6	2247	FGF2
6128	RPL6	6159	RPL29
6128	RPL6	6780	STAU1
6128	RPL6	9020	MAP3K14
6130	RPL7A	57003	CCDC47
6133	RPL9	8470	SORBS2
6133	RPL9	124402	FAM100A
6134	RPL10	7525	YES1
6136	RPL12	51194	IPO11
6142	RPL18A	7786	MAP3K12
6142	RPL18A	10188	TNK2
6144	RPL21	11040	PIM2
6156	RPL30	9020	MAP3K14
6158	RPL28	6780	STAU1
6158	RPL28	29058	C20orf30
6159	RPL29	55638	GOLSYN
6159	RPL29	1107	CHD3
6168	RPL37A	55791	C1orf103
6175	RPLP0	65095	KRI1
6176	RPLP1	6181	RPLP2
6176	RPLP1	55791	C1orf103
6176	RPLP1	124930	ANKRD13B
6176	RPLP1	56905	C15orf39
6182	MRPL12	55092	TMEM51
6183	MRPS12	11161	C14orf1
6183	MRPS12	1400	CRMP1
6183	MRPS12	9094	UNC119
6183	MRPS12	55791	C1orf103
6184	RPN1	56893	UBQLN4
6184	RPN1	8193	DPF1
6184	RPN1	59307	SIGIRR
6184	RPN1	55884	WSB2
6189	RPS3A	1649	DDIT3
6189	RPS3A	142	PARP1
6189	RPS3A	152137	CCDC50
6194	RPS6	93145	OLFM2
6195	RPS6KA1	7529	YWHAB
6195	RPS6KA1	5595	MAPK3
6195	RPS6KA1	5594	MAPK1
6195	RPS6KA1	572	BAD
6195	RPS6KA1	29904	EEF2K
6197	RPS6KA3	5594	MAPK1
6197	RPS6KA3	5595	MAPK3
6197	RPS6KA3	5170	PDPK1
6198	RPS6KB1	6194	RPS6
6198	RPS6KB1	207	AKT1
6198	RPS6KB1	2475	FRAP1
6198	RPS6KB1	7015	TERT
6198	RPS6KB1	29904	EEF2K
6198	RPS6KB1	4686	NCBP1
6203	RPS9	11033	ADAP1
6205	RPS11	9020	MAP3K14
6207	RPS13	9020	MAP3K14
6210	RPS15A	7919	BAT1
6222	RPS18	817	CAMK2D
6223	RPS19	728	C5AR1
6224	RPS20	51678	MPP6
6227	RPS21	3929	LBP
6230	RPS25	9905	SGSM2
6231	RPS26	90121	TSR2
6232	RPS27	58478	ENOPH1
6237	RRAS	5900	RALGDS
6237	RRAS	369	ARAF
6240	RRM1	6241	RRM2
6240	RRM1	50484	RRM2B
6240	RRM1	55791	C1orf103
6241	RRM2	7157	TP53
6252	RTN1	79666	PLEKHF2
6256	RXRA	1647	GADD45A
6256	RXRA	5465	PPARA
6256	RXRA	142	PARP1
6256	RXRA	10902	BRD8
6256	RXRA	6667	SP1
6256	RXRA	9862	MED24
6256	RXRA	6882	TAF11
6256	RXRA	5469	MED1
6256	RXRA	8805	TRIM24
6256	RXRA	9025	RNF8
6256	RXRA	8431	NR0B2
6256	RXRA	9318	COPS2
6256	RXRA	7704	ZBTB16
6256	RXRA	10474	TADA3L
6256	RXRA	9325	TRIP4
6256	RXRA	9322	TRIP10
6256	RXRA	1499	CTNNB1
6256	RXRA	4654	MYOD1
6257	RXRB	7067	THRA
6257	RXRB	6882	TAF11
6257	RXRB	8405	SPOP
6257	RXRB	8431	NR0B2
6258	RXRG	6722	SRF
6259	RYK	7471	WNT1
6259	RYK	89780	WNT3A
6259	RYK	2048	EPHB2
6259	RYK	2049	EPHB3
6261	RYR1	801	CALM1
6261	RYR1	779	CACNA1S
6261	RYR1	6271	S100A1
6261	RYR1	9454	HOMER3
6261	RYR1	10345	TRDN
6261	RYR1	9455	HOMER2
6261	RYR1	9456	HOMER1
6261	RYR1	2280	FKBP1A
6261	RYR1	6262	RYR2
6262	RYR2	2281	FKBP1B
6262	RYR2	9472	AKAP6
6262	RYR2	5576	PRKAR2A
6262	RYR2	6263	RYR3
6271	S100A1	5236	PGM1
6271	S100A1	829	CAPZA1
6271	S100A1	6286	S100P
6271	S100A1	60491	NIF3L1
6271	S100A1	5837	PYGM
6272	SORT1	23062	GGA2
6275	S100A4	9094	UNC119
6275	S100A4	7157	TP53
6275	S100A4	8496	PPFIBP1
6279	S100A8	55791	C1orf103
6279	S100A8	7277	TUBA4A
6279	S100A8	84966	IGSF21
6279	S100A8	64284	RAB17
6279	S100A8	64837	KLC2
6281	S100A10	55503	TRPV6
6281	S100A10	10980	COPS6
6281	S100A10	3777	KCNK3
6283	S100A12	177	AGER
6284	S100A13	2246	FGF1
6285	S100B	4137	MAPT
6285	S100B	5236	PGM1
6285	S100B	10397	NDRG1
6285	S100B	177	AGER
6285	S100B	8826	IQGAP1
6286	S100P	177	AGER
6286	S100P	170591	S100Z
6294	SAFB	3190	HNRNPK
6294	SAFB	2099	ESR1
6294	SAFB	5430	POLR2A
6294	SAFB	9667	SAFB2
6294	SAFB	8683	SFRS9
6295	SAG	6010	RHO
6297	SALL2	79959	CEP76
6297	SALL2	83637	ZMIZ2
6299	SALL1	7013	TERF1
6300	MAPK12	2885	GRB2
6303	SAT1	84991	RBM17
6303	SAT1	117246	FTSJ3
6303	SAT1	22980	TCF25
6303	SAT1	81628	TSC22D4
6303	SAT1	51204	CCDC44
6303	SAT1	23549	DNPEP
6303	SAT1	112483	SAT2
6303	SAT1	84708	LNX1
6303	SAT1	55199	FAM86C
6303	SAT1	11194	ABCB8
6303	SAT1	84141	FAM176A
6303	SAT1	27231	ITGB1BP3
6303	SAT1	125476	INO80C
6303	SAT1	51669	TMEM66
6303	SAT1	8703	B4GALT3
6303	SAT1	55848	C9orf46
6303	SAT1	1107	CHD3
6303	SAT1	8525	DGKZ
6303	SAT1	2634	GBP2
6303	SAT1	2661	GDF9
