DR	DRs	X	X.1	X.2	new
MT1F	MT1F	     4494.2	     4494.4	2.840266e-01	0.14425414387089
RSPO3	RSPO3	    84870.2	    84870.4	1.099461e+00	0.558404759534611
ANKRD11	ANKRD11	    29123.2	    29123.4	3.945055e-01	0.200365223379985
TDRD6	TDRD6	   221400.2	   221400.4	4.773801e-01	0.242456367208212
WWP2	WWP2	    11060.2	    11060.4	6.333295e-01	0.321661438790166
OR1F2P	OR1F2P	    26184.2	    26184.4	2.909174e-01	0.147753909225915
SERPINB12	SERPINB12	    89777.2	    89777.4	2.630710e-01	0.133611013483452
DOK7	DOK7	   285489.2	   285489.4	8.514029e-01	0.432418641171965
SRCAP	SRCAP	    10847.2	    10847.4	2.982525e-01	0.151479329910835
EFNB1	EFNB1	     1947.2	     1947.4	6.735552e-01	0.342091651717784
FAM180B	FAM180B	   399888.2	   399888.4	2.680308e-03	0.00136130044105129
MTHFD2L	MTHFD2L	   441024.2	   441024.4	2.118261e-01	0.107584263956297
HOXD3	HOXD3	     3232.2	     3232.4	1.153833e+00	0.586019730493486
GPHN	GPHN	    10243.2	    10243.4	4.832022e-01	0.245413350994346
HMX2	HMX2	     3167.2	     3167.4	3.076656e-01	0.156260145093888
TDRD10	TDRD10	   126668.2	   126668.4	6.847447e-01	0.347774681908771
OTOF	OTOF	     9381.2	     9381.4	5.631752e-01	0.286030802485815
NHLH1	NHLH1	     4807.2	     4807.4	5.085638e-01	0.258294242767145
NUP210L	NUP210L	    91181.2	    91181.4	4.730027e-01	0.240233131464164
IL1RAPL2	IL1RAPL2	    26280.2	    26280.4	4.535208e-01	0.230338477915946
CCDC126	CCDC126	    90693.2	    90693.4	7.818576e-01	0.397097309607442
MTUS2	MTUS2	    23281.2	    23281.4	3.945580e-01	0.200391887581694
ZNF362	ZNF362	   149076.2	   149076.4	4.328664e-01	0.219848323862886
LHX6	LHX6	    26468.2	    26468.4	6.895878e-01	0.35023444181922
RRS1	RRS1	    23212.2	    23212.4	7.293319e-01	0.37042005513649
PTPRF	PTPRF	     5792.2	     5792.4	9.544285e-02	0.0484744267450577
PACS2	PACS2	    23241.2	    23241.4	7.584806e-01	0.385224375448213
ZNF77	ZNF77	    58492.2	    58492.4	4.479444e-01	0.227506282593812
ZBTB7A	ZBTB7A	    51341.2	    51341.4	8.145868e-01	0.413720128475742
CACNA1A	CACNA1A	      773.2	      773.4	6.992006e-01	0.35511668254668
ZNF358	ZNF358	   140467.2	   140467.4	6.531531e-01	0.331729638199796
SLC6A5	SLC6A5	     9152.2	     9152.4	1.260951e-01	0.0640423843992581
DSTYK	DSTYK	    25778.2	    25778.4	9.000019e-01	0.457101565721924
PANX1	PANX1	    24145.2	    24145.4	7.106614e-01	0.36093750317431
ZNF581	ZNF581	    51545.2	    51545.4	1.169009e-01	0.0593727462400936
FAM163A	FAM163A	   148753.2	   148753.4	7.510257e-01	0.38143810959444
PDE6D	PDE6D	     5147.2	     5147.4	3.288298e-01	0.167009221242785
APAF1	APAF1	      317.2	      317.4	3.290434e-01	0.167117706452026
GFPT2	GFPT2	     9945.2	     9945.4	8.996275e-01	0.45691141187202
DIAPH3	DIAPH3	    81624.2	    81624.4	6.249750e-01	0.317418275491485
IMPA2	IMPA2	     3613.2	     3613.4	1.791992e-01	0.0910134021896135
LRRC4B	LRRC4B	    94030.2	    94030.4	1.746336e-01	0.0886945816310568
DMRTB1	DMRTB1	    63948.2	    63948.4	4.785162e-01	0.243033380533203
OAZ1	OAZ1	     4946.2	     4946.4	1.310963e-01	0.0665824416485689
RPS4X	RPS4X	     6191.2	     6191.4	0.000000e+00	0
HMGN5	HMGN5	    79366.2	    79366.4	3.262069e-01	0.165677077725386
SYT7	SYT7	     9066.2	     9066.4	8.478471e-01	0.43061268748743
RIN2	RIN2	    54453.2	    54453.4	8.328440e-01	0.422992769684276
DERA	DERA	    51071.2	    51071.4	4.380896e-01	0.222501132593711
AEBP1	AEBP1	      165.2	      165.4	1.510519e+00	0.767176824796387
PELI2	PELI2	    57161.2	    57161.4	6.076143e-02	0.0308600957270236
TTC8	TTC8	   123016.2	   123016.4	4.357156e-01	0.221295402786892
DDX18	DDX18	     8886.2	     8886.4	8.607036e-02	0.0437142369568883
CDH8	CDH8	     1006.2	     1006.4	5.962361e-01	0.302822088319962
CDK15	CDK15	    65061.2	    65061.4	3.388301e-01	0.172088269173339
COL4A1	COL4A1	     1282.2	     1282.4	8.065360e-02	0.040963121123533
MEX3C	MEX3C	    51320.2	    51320.4	4.928153e-01	0.250295744088673
SH3RF3	SH3RF3	   344558.2	   344558.4	9.359030e-01	0.47533535947407
MFSD3	MFSD3	   113655.2	   113655.4	2.660136e-01	0.135105529292022
RFX1	RFX1	     5989.2	     5989.4	3.530584e-01	0.179314674148218
HECTD3	HECTD3	    79654.2	    79654.4	5.552347e-01	0.28199790546347
TMEM14C	TMEM14C	    51522.2	    51522.4	2.519518e-01	0.127963687928278
BARHL2	BARHL2	   343472.2	   343472.4	1.614004e-01	0.0819735775537195
SHOX2	SHOX2	     6474.2	     6474.4	8.205128e-01	0.416729881986783
TIGD2	TIGD2	   166815.2	   166815.4	6.482492e-01	0.329238998604319
EBP	EBP	    10682.2	    10682.4	5.606320e-01	0.284739137766058
WNT6	WNT6	     7475.2	     7475.4	6.046526e-01	0.307096740771139
YTHDF3	YTHDF3	   253943.2	   253943.4	7.495467e-02	0.0380686940940571
RBM47	RBM47	    54502.2	    54502.4	6.190356e-01	0.314401716260389
PAX9	PAX9	     5083.2	     5083.4	5.393401e-01	0.273925204120813
LCE5A	LCE5A	   254910.2	   254910.4	1.621706e-01	0.0823647540900346
NLRC3	NLRC3	   197358.2	   197358.4	3.530655e-01	0.179318280164069
PPP5C	PPP5C	     5536.2	     5536.4	2.378766e-01	0.120815040844478
IGFBP5	IGFBP5	     3488.2	     3488.4	9.682268e-01	0.491752279916219
UBL4A	UBL4A	     8266.2	     8266.4	4.790606e-01	0.24330987560769
RNF222	RNF222	   643904.2	   643904.4	1.739807e-01	0.0883629805397038
H3F3B	H3F3B	     3021.2	     3021.4	6.891505e-02	0.035001234171622
TINAG	TINAG	    27283.2	    27283.4	1.248292e+00	0.63399447009851
ARPC2	ARPC2	    10109.2	    10109.4	6.981991e-02	0.0354608031155977
CABYR	CABYR	    26256.2	    26256.4	1.486398e+00	0.754926020807219
ARRDC4	ARRDC4	    91947.2	    91947.4	1.101655e-01	0.0559519069221283
GALNT9	GALNT9	    50614.2	    50614.4	6.753356e-01	0.342995898283943
KCNK17	KCNK17	    89822.2	    89822.4	7.075496e-01	0.359357052452802
GJB6	GJB6	    10804.2	    10804.4	8.074351e-01	0.410087854735461
AVEN	AVEN	    57099.2	    57099.4	3.392839e-01	0.172318749454019
SLC9A3R1	SLC9A3R1	     9368.2	     9368.4	2.054022e-01	0.104321632235141
FBF1	FBF1	    85302.2	    85302.4	2.902540e-01	0.14741697529422
PRKCH	PRKCH	     5583.2	     5583.4	4.664580e-01	0.236909146684599
DCAF4L2	DCAF4L2	   138009.2	   138009.4	1.056117e+00	0.536390794603369
ST6GALNAC3	ST6GALNAC3	   256435.2	   256435.4	4.435125e-01	0.225255366868942
TRIM56	TRIM56	    81844.2	    81844.4	2.670921e-01	0.135653288178566
EPHA10	EPHA10	   284656.2	   284656.4	6.894233e-01	0.350150893987197
MED13	MED13	     9969.2	     9969.4	6.298665e-01	0.319902617256462
CCDC62	CCDC62	    84660.2	    84660.4	1.046855e-01	0.0531686721532282
STC1	STC1	     6781.2	     6781.4	6.595361e-01	0.334971497238097
DYSF	DYSF	     8291.2	     8291.4	1.179370e+00	0.598989706094472
RAB40B	RAB40B	    10966.2	    10966.4	9.088953e-01	0.461618430702533
PIGQ	PIGQ	     9091.2	     9091.4	1.887224e-01	0.0958501360128232
DAZAP1	DAZAP1	    26528.2	    26528.4	4.455765e-01	0.226303650913287
ASAP2	ASAP2	     8853.2	     8853.4	1.060826e+00	0.538782446524309
CACHD1	CACHD1	    57685.2	    57685.4	9.400440e-01	0.477438530126993
ARHGEF18	ARHGEF18	    23370.2	    23370.4	3.280850e-01	0.166630945101202
MAPK1	MAPK1	     5594.2	     5594.4	3.720583e-01	0.188964524930267
GYPC	GYPC	     2995.2	     2995.4	5.275499e-01	0.267937084673315
WDR13	WDR13	    64743.2	    64743.4	2.779059e-01	0.141145504263225
ESPN	ESPN	    83715.2	    83715.4	7.061705e-01	0.358656621965614
OLFM1	OLFM1	    10439.2	    10439.4	6.051817e-01	0.307365465135414
KIF3A	KIF3A	    11127.2	    11127.4	4.141026e-01	0.210318385805096
PSCA	PSCA	     8000.2	     8000.4	6.534975e-01	0.331904555363009
GADD45B	GADD45B	     4616.2	     4616.4	1.063709e+00	0.540246692115319
DPH2	DPH2	     1802.2	     1802.4	5.436787e-01	0.276128733750074
USP14	USP14	     9097.2	     9097.4	3.383420e-01	0.171840368280875
CCNJ	CCNJ	    54619.2	    54619.4	4.526202e-01	0.229881072581481
THTPA	THTPA	    79178.2	    79178.4	3.126681e-01	0.158800862599623
TSPAN18	TSPAN18	    90139.2	    90139.4	4.881347e-01	0.247918516231134
PARP10	PARP10	    84875.2	    84875.4	5.655044e-01	0.287213778840508
NRL	NRL	     4901.2	     4901.4	5.708983e-01	0.289953284318605
QRFPR	QRFPR	    84109.2	    84109.4	3.965614e-01	0.201409393518923
NPM1	NPM1	     4869.2	     4869.4	2.551388e-01	0.129582331944425
STK38	STK38	    11329.2	    11329.4	6.340242e-01	0.322014269664976
ARHGAP15	ARHGAP15	    55843.2	    55843.4	5.950981e-01	0.302244110004815
DNAH11	DNAH11	     8701.2	     8701.4	1.122806e+00	0.570261441228036
KIF26A	KIF26A	    26153.2	    26153.4	7.082661e-01	0.35972095531994
ST8SIA3	ST8SIA3	    51046.2	    51046.4	1.236006e+00	0.627754539008965
ZFHX4	ZFHX4	    79776.2	    79776.4	5.129797e-01	0.260537032259113
RAB5C	RAB5C	     5878.2	     5878.4	3.484169e-01	0.176957304772333
MTM1	MTM1	     4534.2	     4534.4	7.836022e-01	0.397983373727483
SLFNL1	SLFNL1	   200172.2	   200172.4	4.252613e-01	0.215985772997747
MUT	MUT	     4594.2	     4594.4	3.563133e-01	0.180967803865243
KIDINS220	KIDINS220	    57498.2	    57498.4	3.249492e-01	0.165038305030341
CAGE1	CAGE1	   285782.2	   285782.4	3.750003e-01	0.190458736005103
CNTNAP2	CNTNAP2	    26047.2	    26047.4	8.100612e-01	0.41142162349944
SLC5A2	SLC5A2	     6524.2	     6524.4	6.255249e-01	0.317697563958532
BCOR	BCOR	    54880.2	    54880.4	2.950812e-01	0.149868659760723
RHOC	RHOC	      389.2	      389.4	1.750893e-01	0.088926026901894
RER1	RER1	    11079.2	    11079.4	5.339015e-01	0.271162995979546
PGBD1	PGBD1	    84547.2	    84547.4	6.308284e-01	0.320391156220733
THRA	THRA	     7067.2	     7067.4	4.148652e-03	0.00210705702380783
WIPF2	WIPF2	   147179.2	   147179.4	8.234212e-01	0.418207027972525
MAST3	MAST3	    23031.2	    23031.4	5.425568e-01	0.275558932456784
OSM	OSM	     5008.2	     5008.4	2.771661e-01	0.140769767569423
ABO	ABO	       28.2	       28.4	7.681264e-01	0.390123376531033
DPP6	DPP6	     1804.2	     1804.4	5.749367e-01	0.292004345503044
PTK2B	PTK2B	     2185.2	     2185.4	8.483412e-01	0.430863635717232
ZDHHC14	ZDHHC14	    79683.2	    79683.4	1.052020e+00	0.534309971090926
NKX6-2	NKX6-2	    84504.2	    84504.4	6.839498e-01	0.347370960500413
ESCO1	ESCO1	   114799.2	   114799.4	3.404299e-01	0.172900790885617
TBR1	TBR1	    10716.2	    10716.4	4.388595e-01	0.222892156763159
SH2B2	SH2B2	    10603.2	    10603.4	4.077033e-01	0.207068248167027
S100A3	S100A3	     6274.2	     6274.4	3.624546e-01	0.184086905997769
CEP68	CEP68	    23177.2	    23177.4	5.629578e-01	0.28592038729626
ZCCHC12	ZCCHC12	   170261.2	   170261.4	7.810737e-01	0.396699174984205
IQCE	IQCE	    23288.2	    23288.4	2.049115e-01	0.104072410829831
HEXIM2	HEXIM2	   124790.2	   124790.4	5.084074e-01	0.258214808840529
CSMD1	CSMD1	    64478.2	    64478.4	1.111277e+00	0.564405982532662
ZNF664	ZNF664	   144348.2	   144348.4	3.170818e-01	0.161042534734567
PABPC3	PABPC3	     5042.2	     5042.4	6.521026e-01	0.33119610022083
UBL3	UBL3	     5412.2	     5412.4	5.736079e-01	0.291329461860542
LTBP4	LTBP4	     8425.2	     8425.4	8.744016e-01	0.444099440712021
SPTBN4	SPTBN4	    57731.2	    57731.4	1.117798e+00	0.567717930329742
PER3	PER3	     8863.2	     8863.4	4.855055e-01	0.24658317300953
RNF111	RNF111	    54778.2	    54778.4	4.825736e-01	0.245094091619213
HOPX	HOPX	    84525.2	    84525.4	5.502466e-01	0.279464501567347
DLK1	DLK1	     8788.2	     8788.4	2.611849e-01	0.132653082991185
ZFP41	ZFP41	   286128.2	   286128.4	7.779868e-01	0.39513137071265
IGF2R	IGF2R	     3482.2	     3482.4	3.953531e-01	0.200795710567963
RPRD1A	RPRD1A	    55197.2	    55197.4	3.114910e-01	0.158203025802821
MAPK4	MAPK4	     5596.2	     5596.4	5.653985e-01	0.287159993336489
NRCAM	NRCAM	     4897.2	     4897.4	8.506960e-01	0.432059614044568
CNRIP1	CNRIP1	    25927.2	    25927.4	4.405064e-01	0.223728600073542
LARP6	LARP6	    55323.2	    55323.4	1.224374e+00	0.621846767689285
SYT1	SYT1	     6857.2	     6857.4	1.069326e+00	0.543099507753442
FAM8A1	FAM8A1	    51439.2	    51439.4	8.136989e-01	0.413269173338642
OR6V1	OR6V1	   346517.2	   346517.4	8.443001e-03	0.0042881120323099
CRIP3	CRIP3	   401262.2	   401262.4	1.167455e+00	0.592938202030339
TULP1	TULP1	     7287.2	     7287.4	4.822108e-01	0.244909829288162
OCA2	OCA2	     4948.2	     4948.4	4.385544e-01	0.222737199659511
PLXNC1	PLXNC1	    10154.2	    10154.4	7.423354e-01	0.37702439698273
CBR4	CBR4	    84869.2	    84869.4	9.620523e-01	0.48861631585042
RRP1	RRP1	     8568.2	     8568.4	3.672280e-01	0.186511266006139
RIN3	RIN3	    79890.2	    79890.4	2.339882e-01	0.118840163093494
SPAG7	SPAG7	     9552.2	     9552.4	3.135525e-01	0.159250040123275
PNMA2	PNMA2	    10687.2	    10687.4	1.115220e+00	0.566408591053424
PPFIBP1	PPFIBP1	     8496.2	     8496.4	7.558337e-01	0.38388004258146
MYBL1	MYBL1	     4603.2	     4603.4	4.073098e-01	0.206868393626596
FAM189A1	FAM189A1	    23359.2	    23359.4	3.483383e-01	0.176917384653203
FEV	FEV	    54738.2	    54738.4	1.575750e-01	0.0800306968447869
TAF15	TAF15	     8148.2	     8148.4	5.485382e-02	0.0278596823049247
TFAP4	TFAP4	     7023.2	     7023.4	4.182707e-01	0.212435320264996
UBR1	UBR1	   197131.2	   197131.4	5.040729e-01	0.256013361558449
FTHL17	FTHL17	    53940.2	    53940.4	4.527875e-01	0.229966042504261
GBF1	GBF1	     8729.2	     8729.4	5.297441e-01	0.269051495937899
ZNF613	ZNF613	    79898.2	    79898.4	2.394064e-01	0.121592010287811
DPYS	DPYS	     1807.2	     1807.4	6.388402e-01	0.324460265768447
CAMSAP1	CAMSAP1	   157922.2	   157922.4	1.831115e-01	0.0930004185009945
PLA2G15	PLA2G15	    23659.2	    23659.4	8.040417e-01	0.408364382314879
DOCK1	DOCK1	     1793.2	     1793.4	7.954765e-01	0.404014206686671
SNN	SNN	     8303.2	     8303.4	8.268865e-01	0.419967017652209
GOLGA3	GOLGA3	     2802.2	     2802.4	3.139874e-01	0.15947092129134
FGF4	FGF4	     2249.2	     2249.4	3.374926e-01	0.171408966891696
AKAP8L	AKAP8L	    26993.2	    26993.4	4.056880e-01	0.206044698344077
CDK8	CDK8	     1024.2	     1024.4	4.712155e-01	0.239325431249022
ACSL5	ACSL5	    51703.2	    51703.4	1.177061e+00	0.597816989108816
PDGFRA	PDGFRA	     5156.2	     5156.4	1.078155e+00	0.547583664646621
CCDC88B	CCDC88B	   283234.2	   283234.4	8.757632e-01	0.444790983131972
CRHR1	CRHR1	     1394.2	     1394.4	2.929419e-01	0.148782131632784
HTR1D	HTR1D	     3352.2	     3352.4	7.255902e-01	0.368519684783426
ARL6IP5	ARL6IP5	    10550.2	    10550.4	3.268066e-01	0.16598165909234
RNF220	RNF220	    55182.2	    55182.4	2.807998e-01	0.1426152858504
ZNF226	ZNF226	     7769.2	     7769.4	9.207645e-02	0.0467646673424984
LRPPRC	LRPPRC	    10128.2	    10128.4	2.724625e-01	0.138380858252088
RBM3	RBM3	     5935.2	     5935.4	1.259999e-01	0.0639940333134918
NBL1	NBL1	     4681.2	     4681.4	9.831526e-01	0.499332937856665
COX5A	COX5A	     9377.2	     9377.4	3.386794e-01	0.172011730217194
RHOD	RHOD	    29984.2	    29984.4	6.892878e-01	0.350082074952309
RASL10B	RASL10B	    91608.2	    91608.4	1.461204e+00	0.742130251324068
ELOVL5	ELOVL5	    60481.2	    60481.4	3.829762e-01	0.194509612317744
SERINC5	SERINC5	   256987.2	   256987.4	2.871519e-01	0.145841451101409
NGFR	NGFR	     4804.2	     4804.4	1.039994e+00	0.528202091286037
CDR2	CDR2	     1039.2	     1039.4	5.626112e-01	0.285744352776023
MECOM	MECOM	     2122.2	     2122.4	3.541328e-01	0.179860350687581
ERCC6	ERCC6	     2074.2	     2074.4	5.984009e-02	0.0303921567631589
MAP3K9	MAP3K9	     4293.2	     4293.4	7.042965e-01	0.357704836936979
NUDT17	NUDT17	   200035.2	   200035.4	3.484160e-01	0.176956847671733
ZEB2	ZEB2	     9839.2	     9839.4	5.305889e-01	0.26948056103512
SLC20A2	SLC20A2	     6575.2	     6575.4	8.353959e-01	0.424288853043173
PADI3	PADI3	    51702.2	    51702.4	5.797077e-01	0.294427486576479
COQ10A	COQ10A	    93058.2	    93058.4	5.947177e-01	0.302050908817572
ABR	ABR	       29.2	       29.4	4.767574e-01	0.242140104381462
S100B	S100B	     6285.2	     6285.4	5.560339e-01	0.282403810796919
ZSCAN18	ZSCAN18	    65982.2	    65982.4	8.996371e-01	0.456916287611761
TBC1D16	TBC1D16	   125058.2	   125058.4	5.111859e-01	0.259625979972899
DIP2C	DIP2C	    22982.2	    22982.4	6.783420e-01	0.344522817446209
SYNJ1	SYNJ1	     8867.2	     8867.4	3.428963e-01	0.174153449687445
IKZF4	IKZF4	    64375.2	    64375.4	5.560773e-01	0.282425853203666
DNAH10	DNAH10	   196385.2	   196385.4	7.468848e-01	0.379334989730473
PORCN	PORCN	    64840.2	    64840.4	7.790158e-01	0.395653989066154
ALDOA	ALDOA	      226.2	      226.4	3.133075e-01	0.159125607181965
CLNK	CLNK	   116449.2	   116449.4	5.665368e-01	0.287738124018503
BAIAP2	BAIAP2	    10458.2	    10458.4	6.402976e-01	0.325200464007899
TEAD3	TEAD3	     7005.2	     7005.4	2.674775e-01	0.13584902881359
HLA-L	HLA-L	     3139.2	     3139.4	2.365146e-01	0.120123295268704
ANK3	ANK3	      288.2	      288.4	6.238881e-01	0.316866250332668
DEF8	DEF8	    54849.2	    54849.4	5.038474e-01	0.255898832463488
HPCA	HPCA	     3208.2	     3208.4	8.597989e-01	0.436682881887236
ZNF710	ZNF710	   374655.2	   374655.4	3.226906e-01	0.163891185678327
NR2F2	NR2F2	     7026.2	     7026.4	6.647458e-01	0.33761744945991
FECH	FECH	     2235.2	     2235.4	5.676820e-01	0.288319759138457
C6orf10	C6orf10	    10665.2	    10665.4	2.419896e-02	0.0122903990589822
KCNJ9	KCNJ9	     3765.2	     3765.4	6.526329e-01	0.331465434052573
NCAPD2	NCAPD2	     9918.2	     9918.4	7.250549e-01	0.368247811503902
UBTF	UBTF	     7343.2	     7343.4	3.704962e-01	0.188171150654263
OSBPL1A	OSBPL1A	   114876.2	   114876.4	6.353721e-01	0.322698853998005
EPB41L3	EPB41L3	    23136.2	    23136.4	4.542473e-01	0.230707459678648
TGOLN2	TGOLN2	    10618.2	    10618.4	1.600531e-01	0.081289297954424
DCC	DCC	     1630.2	     1630.4	6.146274e-01	0.312162837518005
VHLL	VHLL	   391104.2	   391104.4	1.509370e-01	0.0766593259696119
PHKG2	PHKG2	     5261.2	     5261.4	5.665456e-01	0.287742593446599
CD2	CD2	      914.2	      914.4	4.767532e-01	0.242137971245325
ITPKB	ITPKB	     3707.2	     3707.4	3.988485e-01	0.202570987723294
TCF12	TCF12	     6938.2	     6938.4	5.482859e-01	0.278468682514175
STAC2	STAC2	   342667.2	   342667.4	7.934329e-01	0.402976283589276
THBS1	THBS1	     7057.2	     7057.4	9.100506e-01	0.462205195507006
LOXL1	LOXL1	     4016.2	     4016.4	9.965630e-01	0.506143939963391
ZBTB20	ZBTB20	    26137.2	    26137.4	1.344018e-01	0.0682612705771454
GABBR1	GABBR1	     2550.2	     2550.4	6.587662e-01	0.334580473068648
SORBS2	SORBS2	     8470.2	     8470.4	4.395134e-01	0.223224265744068
MTSS1	MTSS1	     9788.2	     9788.4	1.898365e-01	0.0964159757675735
NCOA7	NCOA7	   135112.2	   135112.4	5.031416e-01	0.255540364014603
ZNF808	ZNF808	   388558.2	   388558.4	8.528473e-01	0.433152236847184
GABRA5	GABRA5	     2558.2	     2558.4	6.763624e-01	0.343517399280422
PTMS	PTMS	     5763.2	     5763.4	1.831414e-01	0.0930156043987299
ARHGEF4	ARHGEF4	    50649.2	    50649.4	7.211742e-01	0.366276844502502
EHMT2	EHMT2	    10919.2	    10919.4	5.634220e-01	0.286156149628326
GOT2	GOT2	     2806.2	     2806.4	5.872823e-01	0.298274546810149
KRT5	KRT5	     3852.2	     3852.4	7.545704e-01	0.3832384257049
ZIC4	ZIC4	    84107.2	    84107.4	1.385730e+00	0.703797794946702
NOL10	NOL10	    79954.2	    79954.4	8.824671e-02	0.0448195823928912
HIP1	HIP1	     3092.2	     3092.4	9.546785e-01	0.484871239839669
HEXIM1	HEXIM1	    10614.2	    10614.4	9.019053e-01	0.458068282703516
DGKI	DGKI	     9162.2	     9162.4	5.138889e-01	0.260998805443763
PROM2	PROM2	   150696.2	   150696.4	4.972337e-01	0.252539803304533
CUX2	CUX2	    23316.2	    23316.4	1.127707e+00	0.572750607943799
DCTN2	DCTN2	    10540.2	    10540.4	1.470477e-01	0.0746839911180274
KIF13A	KIF13A	    63971.2	    63971.4	3.529998e-01	0.179284911820215
USF2	USF2	     7392.2	     7392.4	2.051406e-01	0.104188768327195
CCNB1IP1	CCNB1IP1	    57820.2	    57820.4	6.287167e-01	0.319318645844549
VPS28	VPS28	    51160.2	    51160.4	1.008317e-01	0.0512113673808948
RPL36A	RPL36A	     6173.2	     6173.4	5.844657e-01	0.296844025085681
RNF207	RNF207	   388591.2	   388591.4	8.070322e-01	0.4098832260332
DCAF12L2	DCAF12L2	   340578.2	   340578.4	5.468444e-01	0.27773655971867
