geneID,TCGA.BC.A10Q.01,TCGA.BC.A10R.01,TCGA.BC.A10T.01,TCGA.BC.A10U.01,TCGA.BC.A10W.01,TCGA.BC.A10X.01,TCGA.BC.A10Y.01,TCGA.BC.A10Z.01,TCGA.BC.A110.01,TCGA.BC.A216.01,TCGA.BD.A2L6.01,TCGA.BD.A3EP.01,TCGA.DD.A114.01,TCGA.DD.A118.01,TCGA.DD.A119.01,TCGA.DD.A11A.01,TCGA.DD.A11B.01,TCGA.DD.A11C.01,TCGA.DD.A11D.01,TCGA.DD.A1EB.01,TCGA.DD.A1EC.01,TCGA.DD.A1EE.01,TCGA.DD.A1EH.01,TCGA.DD.A1EJ.01,TCGA.DD.A1EL.01,TCGA.DD.A39V.01,TCGA.DD.A39W.01,TCGA.DD.A39X.01,TCGA.DD.A39Z.01,TCGA.DD.A3A1.01,TCGA.DD.A3A2.01,TCGA.DD.A3A3.01,TCGA.EP.A12J.01,TCGA.EP.A26S.01,TCGA.ES.A2HT.01,TCGA.FV.A23B.01,TCGA.FV.A2QR.01
LINC00115,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
LINC00982,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MIB2,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MIR200A,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MIR200B,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MIR429,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MMEL1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MMP23B,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MORN1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MRPL20,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MXRA8,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
NADK,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
NOC2L,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
OR4F16,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
OR4F29,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
OR4F5,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
PANK4,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
PEX10,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
PLCH2,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
PLEKHN1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
PRDM16,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
PRKCZ,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
PUSL1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
RER1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
RN7SL657P,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
RNF223,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
SAMD11,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
SCNN1D,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
SDF4,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
SKI,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
SLC35E2B,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
SLC35E2,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
SSU72,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TAS1R3,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TMEM240,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TMEM52,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TMEM88B,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TNFRSF14,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TNFRSF18,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TNFRSF4,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TTC34,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TTLL10,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
UBE2J2,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
VWA1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ARHGEF16,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MEGF6,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MIR551A,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TPRG1L,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
WRAP73,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TP73,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
CCDC27,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
SMIM1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
LRRC47,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
RN7SL574P,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
CEP104,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
DFFB,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
C1orf174,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
AJAP1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MIR4417,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MIR4689,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
NPHP4,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
KCNAB2,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
CHD5,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
RPL22,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
RNF207,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ICMT,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
LINC00337,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
GPR153,-1, 0,-1, 1,-1, 0,-1, 0, 0, 2, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
HES3,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ACOT7,-1, 0,-1, 1,-1, 0,-1, 0, 0, 2, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
HES2,-1, 0,-1, 1,-1, 0,-1, 0, 0, 2, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ESPN,-1, 0,-1, 1,-1, 0,-1, 0, 0, 2, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
MIR4252,-1, 0,-1, 1,-1, 0,-1, 0, 0, 2, 0, 0, 0,-1,-1,-1,-1, 0, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
PLEKHG5,-1, 0,-1, 1,-1, 0,-1, 0, 0, 2, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TNFRSF25,-1, 0,-1, 1,-1, 0,-1, 0, 0, 2, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
NOL9,-1, 0,-1, 1,-1, 0,-1, 0, 0, 2, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
TAS1R1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 2, 0, 0, 0,-1,-1,-1,-1,-1, 0,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
