V1	V2	X	X.1	X.2	we
KANK1	KANK1	    23189.3	    23189.4	6.86e-03	1.82646e-05
CLDN5	CLDN5	     7122.3	     7122.4	6.90e-03	1.82646e-05
USP48	USP48	    84196.3	    84196.4	7.08e-03	1.82646e-05
BRCA2	BRCA2	      675.3	      675.4	7.18e-03	1.82646e-05
REEP2	REEP2	    51308.3	    51308.4	7.29e-03	1.82646e-05
NF1	NF1	     4763.3	     4763.4	7.29e-03	1.82646e-05
DIRAS1	DIRAS1	   148252.3	   148252.4	7.73e-03	1.82646e-05
ARFGEF2	ARFGEF2	    10564.3	    10564.4	7.92e-03	1.82646e-05
KRTAP5-11	KRTAP5-11	   440051.3	   440051.4	8.03e-03	1.82646e-05
SETD2	SETD2	    29072.3	    29072.4	8.15e-03	1.82646e-05
BEND3	BEND3	    57673.3	    57673.4	8.31e-03	1.82646e-05
CPSF4	CPSF4	    10898.3	    10898.4	8.81e-03	1.82646e-05
ABCA13	ABCA13	   154664.3	   154664.4	8.83e-03	1.82646e-05
NCL	NCL	     4691.3	     4691.4	9.33e-03	1.82646e-05
NMS	NMS	   129521.3	   129521.4	9.88e-03	1.82646e-05
SENP2	SENP2	    59343.3	    59343.4	1.00e-02	1.82646e-05
ANKRD12	ANKRD12	    23253.3	    23253.4	1.03e-02	1.82646e-05
IL12A	IL12A	     3592.3	     3592.4	1.04e-02	1.82646e-05
SAA1	SAA1	     6288.3	     6288.4	1.04e-02	1.82646e-05
ATP2A2	ATP2A2	      488.3	      488.4	1.06e-02	1.82646e-05
EIF3E	EIF3E	     3646.3	     3646.4	1.09e-02	1.82646e-05
GABRA1	GABRA1	     2554.3	     2554.4	1.09e-02	1.82646e-05
MYF5	MYF5	     4617.3	     4617.4	1.12e-02	1.82646e-05
LYZL6	LYZL6	    57151.3	    57151.4	1.17e-02	1.82646e-05
ARHGEF28	ARHGEF28	    64283.3	    64283.4	1.18e-02	1.82646e-05
GNAZ	GNAZ	     2781.3	     2781.4	1.20e-02	1.82646e-05
PSMB11	PSMB11	   122706.3	   122706.4	1.20e-02	1.82646e-05
IPO7	IPO7	    10527.3	    10527.4	1.24e-02	1.82646e-05
POU5F2	POU5F2	   134187.3	   134187.4	1.25e-02	1.82646e-05
ATG2B	ATG2B	    55102.3	    55102.4	1.25e-02	1.82646e-05
SRRM2	SRRM2	    23524.3	    23524.4	1.27e-02	1.82646e-05
STAT3	STAT3	     6774.3	     6774.4	1.29e-02	1.82646e-05
PYGO2	PYGO2	    90780.3	    90780.4	1.29e-02	1.82646e-05
APCS	APCS	      325.3	      325.4	1.30e-02	1.82646e-05
RPS6KA5	RPS6KA5	     9252.3	     9252.4	1.31e-02	1.82646e-05
MFAP5	MFAP5	     8076.3	     8076.4	1.32e-02	1.82646e-05
COL6A3	COL6A3	     1293.3	     1293.4	1.34e-02	1.82646e-05
TXN2	TXN2	    25828.3	    25828.4	1.35e-02	1.82646e-05
NFIC	NFIC	     4782.3	     4782.4	1.37e-02	1.82646e-05
TREX2	TREX2	    11219.3	    11219.4	1.41e-02	1.82646e-05
ENGASE	ENGASE	    64772.3	    64772.4	1.42e-02	1.82646e-05
PPM1H	PPM1H	    57460.3	    57460.4	1.42e-02	1.82646e-05
RLIM	RLIM	    51132.3	    51132.4	1.44e-02	1.82646e-05
PRSS58	PRSS58	   136541.3	   136541.4	1.47e-02	1.82646e-05
PGM2L1	PGM2L1	   283209.3	   283209.4	1.49e-02	1.82646e-05
FOSB	FOSB	     2354.3	     2354.4	1.50e-02	1.82646e-05
TFE3	TFE3	     7030.3	     7030.4	1.51e-02	1.82646e-05
GPR3	GPR3	     2827.3	     2827.4	1.52e-02	1.82646e-05
ZBTB9	ZBTB9	   221504.3	   221504.4	1.52e-02	1.82646e-05
ZSCAN16	ZSCAN16	    80345.3	    80345.4	1.53e-02	1.82646e-05
PTPRJ	PTPRJ	     5795.3	     5795.4	1.54e-02	1.82646e-05
NME6	NME6	    10201.3	    10201.4	1.56e-02	1.82646e-05
COL15A1	COL15A1	     1306.3	     1306.4	1.56e-02	1.82646e-05
RPS6KB2	RPS6KB2	     6199.3	     6199.4	1.62e-02	1.82646e-05
BPIFA1	BPIFA1	    51297.3	    51297.4	1.64e-02	1.82646e-05
SFXN5	SFXN5	    94097.3	    94097.4	1.65e-02	1.82646e-05
CEACAM4	CEACAM4	     1089.3	     1089.4	1.72e-02	1.82646e-05
TP53BP2	TP53BP2	     7159.3	     7159.4	1.73e-02	1.82646e-05
IRF2	IRF2	     3660.3	     3660.4	1.73e-02	1.82646e-05
FLVCR1	FLVCR1	    28982.3	    28982.4	1.73e-02	1.82646e-05
PTPRN	PTPRN	     5798.3	     5798.4	1.74e-02	1.82646e-05
TG	TG	     7038.3	     7038.4	1.77e-02	1.82646e-05
TCEANC	TCEANC	   170082.3	   170082.4	1.78e-02	1.82646e-05
OLFML2B	OLFML2B	    25903.3	    25903.4	1.78e-02	1.82646e-05
PHPT1	PHPT1	    29085.3	    29085.4	1.79e-02	1.82646e-05
ASIC4	ASIC4	    55515.3	    55515.4	1.80e-02	1.82646e-05
GOLGB1	GOLGB1	     2804.3	     2804.4	1.84e-02	1.82646e-05
AFF4	AFF4	    27125.3	    27125.4	1.84e-02	1.82646e-05
EGFR	EGFR	     1956.3	     1956.4	1.85e-02	1.82646e-05
NT5DC1	NT5DC1	   221294.3	   221294.4	1.85e-02	1.82646e-05
CNGA3	CNGA3	     1261.3	     1261.4	1.89e-02	1.82646e-05
ZFX	ZFX	     7543.3	     7543.4	1.91e-02	1.82646e-05
ARL9	ARL9	   132946.3	   132946.4	1.93e-02	1.82646e-05
TCAIM	TCAIM	   285343.3	   285343.4	1.94e-02	1.82646e-05
SLC30A1	SLC30A1	     7779.3	     7779.4	1.94e-02	1.82646e-05
RNASE3	RNASE3	     6037.3	     6037.4	1.97e-02	1.82646e-05
PCDHB16	PCDHB16	    57717.3	    57717.4	1.97e-02	1.82646e-05
ADAM12	ADAM12	     8038.3	     8038.4	1.98e-02	1.82646e-05
MFSD11	MFSD11	    79157.3	    79157.4	1.99e-02	1.82646e-05
RAI14	RAI14	    26064.3	    26064.4	1.99e-02	1.82646e-05
HIP1	HIP1	     3092.3	     3092.4	2.04e-02	1.82646e-05
SPTAN1	SPTAN1	     6709.3	     6709.4	2.04e-02	1.82646e-05
TNPO1	TNPO1	     3842.3	     3842.4	2.06e-02	1.82646e-05
VDAC1	VDAC1	     7416.3	     7416.4	2.06e-02	1.82646e-05
C6orf62	C6orf62	    81688.3	    81688.4	2.07e-02	1.82646e-05
EIF4E1B	EIF4E1B	   253314.3	   253314.4	2.08e-02	1.82646e-05
CCR3	CCR3	     1232.3	     1232.4	2.10e-02	1.82646e-05
TANC2	TANC2	    26115.3	    26115.4	2.13e-02	1.82646e-05
CDHR2	CDHR2	    54825.3	    54825.4	2.14e-02	1.82646e-05
KIT	KIT	     3815.3	     3815.4	2.14e-02	1.82646e-05
PCBP1	PCBP1	     5093.3	     5093.4	2.15e-02	1.82646e-05
FOXG1	FOXG1	     2290.3	     2290.4	2.15e-02	1.82646e-05
DTX2	DTX2	   113878.3	   113878.4	2.16e-02	1.82646e-05
SOS1	SOS1	     6654.3	     6654.4	2.16e-02	1.82646e-05
SACM1L	SACM1L	    22908.3	    22908.4	2.18e-02	1.82646e-05
GPR137B	GPR137B	     7107.3	     7107.4	2.19e-02	1.82646e-05
MIIP	MIIP	    60672.3	    60672.4	2.20e-02	1.82646e-05
C20orf27	C20orf27	    54976.3	    54976.4	2.20e-02	1.82646e-05
REXO4	REXO4	    57109.3	    57109.4	2.20e-02	1.82646e-05
EPSTI1	EPSTI1	    94240.3	    94240.4	2.21e-02	1.82646e-05
COG3	COG3	    83548.3	    83548.4	2.22e-02	1.82646e-05
MYT1L	MYT1L	    23040.3	    23040.4	2.24e-02	1.82646e-05
DNAAF3	DNAAF3	   352909.3	   352909.4	2.25e-02	1.82646e-05
MGAT1	MGAT1	     4245.3	     4245.4	2.26e-02	1.82646e-05
PKN2	PKN2	     5586.3	     5586.4	2.30e-02	1.82646e-05
ASTL	ASTL	   431705.3	   431705.4	2.33e-02	1.82646e-05
HAUS1	HAUS1	   115106.3	   115106.4	2.34e-02	1.82646e-05
ITGB2	ITGB2	     3689.3	     3689.4	2.36e-02	1.82646e-05
RAB18	RAB18	    22931.3	    22931.4	2.36e-02	1.82646e-05
ATP6V0A1	ATP6V0A1	      535.3	      535.4	2.42e-02	1.82646e-05
MLST8	MLST8	    64223.3	    64223.4	2.42e-02	1.82646e-05
DCAF11	DCAF11	    80344.3	    80344.4	2.45e-02	1.82646e-05
PER2	PER2	     8864.3	     8864.4	2.46e-02	1.82646e-05
SENP7	SENP7	    57337.3	    57337.4	2.50e-02	1.82646e-05
USP4	USP4	     7375.3	     7375.4	2.62e-02	1.82646e-05
HTT	HTT	     3064.3	     3064.4	2.63e-02	1.82646e-05
UCP1	UCP1	     7350.3	     7350.4	2.64e-02	1.82646e-05
IQGAP1	IQGAP1	     8826.3	     8826.4	2.64e-02	1.82646e-05
SRC	SRC	     6714.3	     6714.4	2.65e-02	1.82646e-05
XPOT	XPOT	    11260.3	    11260.4	2.66e-02	1.82646e-05
HECW2	HECW2	    57520.3	    57520.4	2.68e-02	1.82646e-05
NOS3	NOS3	     4846.3	     4846.4	2.69e-02	1.82646e-05
HTR7	HTR7	     3363.3	     3363.4	2.71e-02	1.82646e-05
LYVE1	LYVE1	    10894.3	    10894.4	2.72e-02	1.82646e-05
AP2B1	AP2B1	      163.3	      163.4	2.76e-02	1.82646e-05
FHOD3	FHOD3	    80206.3	    80206.4	2.76e-02	1.82646e-05
R3HCC1L	R3HCC1L	    27291.3	    27291.4	2.78e-02	1.82646e-05
SLC17A3	SLC17A3	    10786.3	    10786.4	2.79e-02	1.82646e-05
PYGM	PYGM	     5837.3	     5837.4	2.81e-02	1.82646e-05
OPALIN	OPALIN	    93377.3	    93377.4	2.82e-02	1.82646e-05
RASGRF2	RASGRF2	     5924.3	     5924.4	2.84e-02	1.82646e-05
RBL2	RBL2	     5934.3	     5934.4	2.86e-02	1.82646e-05
CDA	CDA	      978.3	      978.4	2.86e-02	1.82646e-05
ATP10D	ATP10D	    57205.3	    57205.4	2.87e-02	1.82646e-05
C2CD3	C2CD3	    26005.3	    26005.4	2.87e-02	1.82646e-05
SLX4	SLX4	    84464.3	    84464.4	2.88e-02	1.82646e-05
GALK1	GALK1	     2584.3	     2584.4	2.89e-02	1.82646e-05
SAGE1	SAGE1	    55511.3	    55511.4	2.89e-02	1.82646e-05
PLEKHM1	PLEKHM1	     9842.3	     9842.4	2.91e-02	1.82646e-05
MISP	MISP	   126353.3	   126353.4	2.91e-02	1.82646e-05
COMMD3	COMMD3	    23412.3	    23412.4	2.94e-02	1.82646e-05
TMEM128	TMEM128	    85013.3	    85013.4	2.96e-02	1.82646e-05
NLRC5	NLRC5	    84166.3	    84166.4	2.97e-02	1.82646e-05
ITPR3	ITPR3	     3710.3	     3710.4	2.99e-02	1.82646e-05
EEPD1	EEPD1	    80820.3	    80820.4	3.01e-02	1.82646e-05
LY75	LY75	     4065.3	     4065.4	3.01e-02	1.82646e-05
IFNA5	IFNA5	     3442.3	     3442.4	3.01e-02	1.82646e-05
ATP12A	ATP12A	      479.3	      479.4	3.03e-02	1.82646e-05
RHOB	RHOB	      388.3	      388.4	3.04e-02	1.82646e-05
ELF3	ELF3	     1999.3	     1999.4	3.08e-02	1.82646e-05
CEACAM3	CEACAM3	     1084.3	     1084.4	3.09e-02	1.82646e-05
SLC6A13	SLC6A13	     6540.3	     6540.4	3.10e-02	1.82646e-05
SLC9C1	SLC9C1	   285335.3	   285335.4	3.10e-02	1.82646e-05
MAT1A	MAT1A	     4143.3	     4143.4	3.12e-02	1.82646e-05
USP45	USP45	    85015.3	    85015.4	3.13e-02	1.82646e-05
S100A7A	S100A7A	   338324.3	   338324.4	3.13e-02	1.82646e-05
SAMD12	SAMD12	   401474.3	   401474.4	3.13e-02	1.82646e-05
PPARGC1A	PPARGC1A	    10891.3	    10891.4	3.16e-02	1.82646e-05
DDX11	DDX11	     1663.3	     1663.4	3.20e-02	1.82646e-05
PSG2	PSG2	     5670.3	     5670.4	3.22e-02	1.82646e-05
EIF3J	EIF3J	     8669.3	     8669.4	3.25e-02	1.82646e-05
PI4KB	PI4KB	     5298.3	     5298.4	3.25e-02	1.82646e-05
NIPAL2	NIPAL2	    79815.3	    79815.4	3.26e-02	1.82646e-05
PARD3B	PARD3B	   117583.3	   117583.4	3.29e-02	1.82646e-05
TRPA1	TRPA1	     8989.3	     8989.4	3.29e-02	1.82646e-05
KISS1	KISS1	     3814.3	     3814.4	3.31e-02	1.82646e-05
CBFA2T2	CBFA2T2	     9139.3	     9139.4	3.32e-02	1.82646e-05
AADACL3	AADACL3	   126767.3	   126767.4	3.33e-02	1.82646e-05
BAZ2B	BAZ2B	    29994.3	    29994.4	3.34e-02	1.82646e-05
PHTF1	PHTF1	    10745.3	    10745.4	3.35e-02	1.82646e-05
CLK2	CLK2	     1196.3	     1196.4	3.36e-02	1.82646e-05
COX6B1	COX6B1	     1340.3	     1340.4	3.36e-02	1.82646e-05
TOE1	TOE1	   114034.3	   114034.4	3.41e-02	1.82646e-05
STXBP3	STXBP3	     6814.3	     6814.4	3.43e-02	1.82646e-05
PLA2G4F	PLA2G4F	   255189.3	   255189.4	3.44e-02	1.82646e-05
PIK3R1	PIK3R1	     5295.3	     5295.4	3.45e-02	1.82646e-05
ARTN	ARTN	     9048.3	     9048.4	3.47e-02	1.82646e-05
ELF4	ELF4	     2000.3	     2000.4	3.48e-02	1.82646e-05
PPAN	PPAN	    56342.3	    56342.4	3.48e-02	1.82646e-05
CRLF3	CRLF3	    51379.3	    51379.4	3.49e-02	1.82646e-05
ZDHHC13	ZDHHC13	    54503.3	    54503.4	3.49e-02	1.82646e-05
DOCK4	DOCK4	     9732.3	     9732.4	3.56e-02	1.82646e-05
APBB3	APBB3	    10307.3	    10307.4	3.57e-02	1.82646e-05
SULT4A1	SULT4A1	    25830.3	    25830.4	3.57e-02	1.82646e-05
ZNF521	ZNF521	    25925.3	    25925.4	3.58e-02	1.82646e-05
SASH1	SASH1	    23328.3	    23328.4	3.59e-02	1.82646e-05
NDUFA5	NDUFA5	     4698.3	     4698.4	3.64e-02	1.82646e-05
IGDCC4	IGDCC4	    57722.3	    57722.4	3.66e-02	1.82646e-05
NOP10	NOP10	    55505.3	    55505.4	3.66e-02	1.82646e-05
KALRN	KALRN	     8997.3	     8997.4	3.66e-02	1.82646e-05
AMER1	AMER1	   139285.3	   139285.4	3.70e-02	1.82646e-05
FLT3	FLT3	     2322.3	     2322.4	3.70e-02	1.82646e-05
IQGAP2	IQGAP2	    10788.3	    10788.4	3.71e-02	1.82646e-05
BCLAF1	BCLAF1	     9774.3	     9774.4	3.71e-02	1.82646e-05
PDE10A	PDE10A	    10846.3	    10846.4	3.71e-02	1.82646e-05
PRRT3	PRRT3	   285368.3	   285368.4	3.74e-02	1.82646e-05
GLP1R	GLP1R	     2740.3	     2740.4	3.74e-02	1.82646e-05
CHPF	CHPF	    79586.3	    79586.4	3.75e-02	1.82646e-05
PHF23	PHF23	    79142.3	    79142.4	3.76e-02	1.82646e-05
ELAVL1	ELAVL1	     1994.3	     1994.4	3.76e-02	1.82646e-05
ITGB3BP	ITGB3BP	    23421.3	    23421.4	3.79e-02	1.82646e-05
KMT2A	KMT2A	     4297.3	     4297.4	3.80e-02	1.82646e-05
PRKDC	PRKDC	     5591.3	     5591.4	3.82e-02	1.82646e-05
STK32B	STK32B	    55351.3	    55351.4	3.86e-02	1.82646e-05
GNAS	GNAS	     2778.3	     2778.4	3.91e-02	1.82646e-05
DENND2C	DENND2C	   163259.3	   163259.4	3.92e-02	1.82646e-05
STAG2	STAG2	    10735.3	    10735.4	3.93e-02	1.82646e-05
CR2	CR2	     1380.3	     1380.4	3.94e-02	1.82646e-05
FANCI	FANCI	    55215.3	    55215.4	3.94e-02	1.82646e-05
PIK3C2B	PIK3C2B	     5287.3	     5287.4	3.95e-02	1.82646e-05
KCNH7	KCNH7	    90134.3	    90134.4	3.96e-02	1.82646e-05
GRAMD4	GRAMD4	    23151.3	    23151.4	3.96e-02	1.82646e-05
PXT1	PXT1	   222659.3	   222659.4	3.96e-02	1.82646e-05
NFATC2	NFATC2	     4773.3	     4773.4	3.99e-02	1.82646e-05
PHF20L1	PHF20L1	    51105.3	    51105.4	4.00e-02	1.82646e-05
VPS39	VPS39	    23339.3	    23339.4	4.00e-02	1.82646e-05
RPL22	RPL22	     6146.3	     6146.4	4.01e-02	1.82646e-05
UBE2N	UBE2N	     7334.3	     7334.4	4.06e-02	1.82646e-05
KRTAP1-3	KRTAP1-3	    81850.3	    81850.4	4.09e-02	1.82646e-05
TRPM8	TRPM8	    79054.3	    79054.4	4.10e-02	1.82646e-05
A1BG	A1BG	        1.3	        1.4	4.11e-02	1.82646e-05
MAK	MAK	     4117.3	     4117.4	4.13e-02	1.82646e-05
ZBTB32	ZBTB32	    27033.3	    27033.4	4.14e-02	1.82646e-05
MAN2A2	MAN2A2	     4122.3	     4122.4	4.14e-02	1.82646e-05
HLA-E	HLA-E	     3133.3	     3133.4	4.14e-02	1.82646e-05
EPB42	EPB42	     2038.3	     2038.4	4.15e-02	1.82646e-05
CDC42EP1	CDC42EP1	    11135.3	    11135.4	4.16e-02	1.82646e-05
TRIM26	TRIM26	     7726.3	     7726.4	4.17e-02	1.82646e-05
PTTG2	PTTG2	    10744.3	    10744.4	4.17e-02	1.82646e-05
ZNF135	ZNF135	     7694.3	     7694.4	4.18e-02	1.82646e-05
MRGPRF	MRGPRF	   116535.3	   116535.4	4.19e-02	1.82646e-05
FLOT1	FLOT1	    10211.3	    10211.4	4.20e-02	1.82646e-05
SPIRE2	SPIRE2	    84501.3	    84501.4	4.20e-02	1.82646e-05
CD80	CD80	      941.3	      941.4	4.25e-02	1.82646e-05
GPX1	GPX1	     2876.3	     2876.4	4.30e-02	1.82646e-05
GNG12	GNG12	    55970.3	    55970.4	4.31e-02	1.82646e-05
MLXIPL	MLXIPL	    51085.3	    51085.4	4.34e-02	1.82646e-05
GLI3	GLI3	     2737.3	     2737.4	4.34e-02	1.82646e-05
MAATS1	MAATS1	    89876.3	    89876.4	4.37e-02	1.82646e-05
NFATC4	NFATC4	     4776.3	     4776.4	4.37e-02	1.82646e-05
FPR2	FPR2	     2358.3	     2358.4	4.37e-02	1.82646e-05
RXRA	RXRA	     6256.3	     6256.4	4.39e-02	1.82646e-05
KRTAP5-1	KRTAP5-1	   387264.3	   387264.4	4.39e-02	1.82646e-05
MTOR	MTOR	     2475.3	     2475.4	4.41e-02	1.82646e-05
GABRQ	GABRQ	    55879.3	    55879.4	4.43e-02	1.82646e-05
MYO6	MYO6	     4646.3	     4646.4	4.43e-02	1.82646e-05
MELK	MELK	     9833.3	     9833.4	4.44e-02	1.82646e-05
ARRDC5	ARRDC5	   645432.3	   645432.4	4.47e-02	1.82646e-05
WDR60	WDR60	    55112.3	    55112.4	4.55e-02	1.82646e-05
C1orf35	C1orf35	    79169.3	    79169.4	4.55e-02	1.82646e-05
FAM69B	FAM69B	   138311.3	   138311.4	4.61e-02	1.82646e-05
CLPTM1	CLPTM1	     1209.3	     1209.4	4.62e-02	1.82646e-05
RNF123	RNF123	    63891.3	    63891.4	4.63e-02	1.82646e-05
EPB41L3	EPB41L3	    23136.3	    23136.4	4.65e-02	1.82646e-05
UPF3B	UPF3B	    65109.3	    65109.4	4.68e-02	1.82646e-05
ADIPOQ	ADIPOQ	     9370.3	     9370.4	4.70e-02	1.82646e-05
KCNN4	KCNN4	     3783.3	     3783.4	4.71e-02	1.82646e-05
AKAP6	AKAP6	     9472.3	     9472.4	4.71e-02	1.82646e-05
INSIG1	INSIG1	     3638.3	     3638.4	4.71e-02	1.82646e-05
ZNF175	ZNF175	     7728.3	     7728.4	4.72e-02	1.82646e-05
KLHL3	KLHL3	    26249.3	    26249.4	4.76e-02	1.82646e-05
PIWIL4	PIWIL4	   143689.3	   143689.4	4.77e-02	1.82646e-05
MINOS1	MINOS1	   440574.3	   440574.4	4.79e-02	1.82646e-05
SERPINE2	SERPINE2	     5270.3	     5270.4	4.79e-02	1.82646e-05
PTPN3	PTPN3	     5774.3	     5774.4	4.81e-02	1.82646e-05
TBC1D2B	TBC1D2B	    23102.3	    23102.4	4.82e-02	1.82646e-05
CDC25C	CDC25C	      995.3	      995.4	4.86e-02	1.82646e-05
NCSTN	NCSTN	    23385.3	    23385.4	4.89e-02	1.82646e-05
STAG1	STAG1	    10274.3	    10274.4	4.89e-02	1.82646e-05
METTL18	METTL18	    92342.3	    92342.4	4.91e-02	1.82646e-05
SCAMP4	SCAMP4	   113178.3	   113178.4	4.94e-02	1.82646e-05
PDZK1IP1	PDZK1IP1	    10158.3	    10158.4	4.95e-02	1.82646e-05
SEMA6C	SEMA6C	    10500.3	    10500.4	4.96e-02	1.82646e-05
KRTAP22-1	KRTAP22-1	   337979.3	   337979.4	4.98e-02	1.82646e-05
CLCN3	CLCN3	     1182.3	     1182.4	4.98e-02	1.82646e-05
TAF1D	TAF1D	    79101.3	    79101.4	4.99e-02	1.82646e-05
COL18A1	COL18A1	    80781.3	    80781.4	4.99e-02	1.82646e-05
ZNF576	ZNF576	    79177.3	    79177.4	5.05e-02	1.82646e-05
CATSPERD	CATSPERD	   257062.3	   257062.4	5.07e-02	1.82646e-05
SAMD9	SAMD9	    54809.3	    54809.4	5.07e-02	1.82646e-05
PPP1R13B	PPP1R13B	    23368.3	    23368.4	5.14e-02	1.82646e-05
AMY2A	AMY2A	      279.3	      279.4	5.18e-02	1.82646e-05
RNF135	RNF135	    84282.3	    84282.4	5.19e-02	1.82646e-05
SPRR2A	SPRR2A	     6700.3	     6700.4	5.20e-02	1.82646e-05
